TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TID_VLDTN_CD,TYPE_PACK_CODE,TID_RDBL_CD,FTY_CD,TID_PRFNC_CD,TID_LG_DM,TID_WDTH_DIM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_VNTG_CD,TID_WHL_BS_DM,TID_TLSCPD_LG_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,TID_TRLR_TNG_LG_DM,TID_CRAF_RQMT_TX,BLANK
 01,A21633,8,B,0,D, 1520011255476,,,N,,,495,420,H,156,3427,18769,,0,H,,0,0,0,N,0,0,0,0,0,,0,,0,0000,OH-58D,,, 
 01,C10908,D,A,1,D, 2350011104660,,,N,,,265,130,C,115,45080,2293,,115,C,,116,17,250,N,0,124,115,0,0,,161,,0,0000,M992,,, 
 01,C10990,B,A,1,D, 2350013383116,,,N,,,210,119,C,105,27635,1519,,0,C,,82,0,0,N,0,0,0,0,0,,0,,0,0000,M1064,,, 
 01,C11158,B,A,1,D, 2350013545657,,,N,,,194,106,C,107,25813,1273,,0,C,,82,0,0,N,0,0,0,0,0,,0,,0,0000,M1068,,, 
 01,C12155,B,A,1,D, 2350010853792,,,N,,,210,106,C,108,27900,1392,,0,C,,94,0,100,N,0,0,0,0,0,,0,,0,0000,M981,,, 
 01,C12815,B,A,2,D, 2350012030188,,,N,,,192,106,C,101,24018,1190,,0,C,,82,0,100,N,0,0,0,0,0,,0,,0,0000,M1059,,, 
 01,C18234,B,A,2,D, 2350012197577,,,N,,,208,105,C,99,23880,1252,,0,C,,92,0,75,N,0,0,0,0,0,,0,,0,0000,M113A3,,, 
 01,C30675,D,R,2,D, 5865012752137,,,R,,,193,84,3,105,7960,986,,0,A,,0,0,0,N,0,0,0,0,0,,0,,5,0005,AN/TLQ-17AV3,,, 
 01,C32887,B,R,2,D, 4940010259856,,,R,,,144,72,6,89,2780,534,,0,A,,82,0,0,N,0,0,0,0,0,,0,,2,0002,NONE,,, 
 01,C36151,D,A,2,D, 3810011650646,,,N,,,309,96,4,93,22720,1597,,0,C,,130,0,0,N,0,0,0,0,0,,0,,0,0000,7-1/2-TON,,, 
 01,C39398,B,A,1,D, 3810012052716,,,N,,,556,144,5,156,104100,7228,,0,M,,0,0,0,N,0,0,0,0,0,,0,,0,0000,RTCC,,, 
 01,D11049,B,A,1,D, 2350000784545,,,N,,,232,106,C,130,16774,1850,,130,B,,113,17,580,N,132,96,79,32,32,,0,,0,0000,M548,,, 
