TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,TI_SUTBLTY_ID,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,LEAD_NSN,FUEL_BURNER,BLANK
A21633,,AERIAL SCOUT HLCPTR,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
C10908,,CARRIER AMMO TRKD VEH,13000,6980,,, 2000-01-12 00:00:00,JDL,,YES, 
C10990,,CARRIER 120MM MORTAR,0,6987,,, 2000-01-12 00:00:00,JDL,,NO, 
C11158,,CARRIER ARMD CMD POST,0,6987,,, 2000-01-12 00:00:00,JDL,,NO, 
C12155,,CARRIER PERS F/TRACK,400,6987,,, 2000-01-12 00:00:00,JDL,,YES, 
C12815,,CARRIER SMOKE GEN TRK,300,,,, 2000-01-12 00:00:00,JDL,,YES, 
C18234,,CARRIER PERS FTRAC,3120,6987,,, 2000-01-12 00:00:00,JDL,,YES, 
C30675,,COUNTERMEASURES SET,0,L988,,, 2000-01-12 00:00:00,JDL,,NO, 
C32887,,CLEANER STM TLR MTD,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
C36151,,CRANE WHEEL MTD,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
C39398,,CRANE WHEEL MTD R/T,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
D11049,,CARRIER CARGO FTRAC,12000,6987,,, 2000-01-12 00:00:00,JDL,,YES, 
D11538,,CARRIER COMD P FTRAC,3000,6987,,, 2000-01-12 00:00:00,JDL,,YES, 
D12087,,CARRIER PERS FTRAC,2500,6987,,, 2000-01-12 00:00:00,JDL,,YES, 
D28318,,DIST WTR TK STLR MTD,0,6965,,, 2000-01-12 00:00:00,JDL,,NO, 
D78325,,DATA PROCESSING SYS,0,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
E02670,,CHASSIS TLR 3-1/2 TON,7000,8055,,, 2000-01-12 00:00:00,JDL,,NO, 
E02807,,CHASSIS TLR 2-1/2 TON,5000,8052,,, 2000-01-12 00:00:00,JDL,,YES, 
E32466,,CLNR STM PRESSURE JET,0,8064,,, 2000-01-12 00:00:00,JDL,,YES, 
E40961,,CLOTH RPR SHP TLR MTD,0,8057,,, 2000-01-12 00:00:00,JDL,,NO, 
E56578,,CBT ENG VEH FTRAC,0,6980,,, 2000-01-12 00:00:00,JDL,,YES, 
E61618,,COMPACTOR HI SPEED,0,8085,,, 2000-01-12 00:00:00,JDL,,YES, 
E70338,,COMP UNIT RCP TLR MTD,0,8050,,, 2000-01-12 00:00:00,JDL,,YES, 
E72804,,COMP UNIT RTRY TLRMTD,0,8055,,, 2000-01-12 00:00:00,JDL,,NO, 
F40375,,FIGHTING VEHICLE HS,900,,,, 2000-01-12 00:00:00,JDL,,YES, 
F43003,,CRANE TRK MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
F43067,,CRANE WHEEL MTD 5 TON,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
F43364,,CRANE SHOVEL CRWL MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
F43429,,CRANE TRK MTD HYD 25T,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
F57713,,FIRE UNIT VEH MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
F60530,,FIGHTING VEH FTRAC,900,,,, 2000-01-12 00:00:00,JDL,,NO, 
F79334,,FLOODLIGHT ST TLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
G17460,,GEN SET DED TLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
G27844,,DISTR BITUM TRK MTD,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
G34805,,DOLLY SET LIFT,6000,6089,,, 2000-01-12 00:00:00,JDL,,NO, 
G34815,,DOLLY SET LIFT,10500,6089,,, 2000-01-12 00:00:00,JDL,,NO, 
G35226,,DOLLY TLR CONV 8 TON,16000,6070,,, 2000-01-12 00:00:00,JDL,,NO, 
G35851,,GEN SET DED TLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
G35919,,GENERATOR SET DED,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
G37273,,GEN SET DED TLR MTD,0,8000,,, 2000-01-12 00:00:00,JDL,,YES, 
G38140,,GEN SET GED WHL MTD,0,ZZZZ,,, 2000-01-12 00:00:00,JDL,,YES, 
G40744,,GEN SET DED TLR MTD,0,8050,,, 2000-01-12 00:00:00,JDL,,YES, 
