UNFRMD_S,S,RANK_SUBCA,UNFRMD_SRVC_OCCPTN_TX,J,JDL_RCRD_CHNG_DT,JDL,BLANK
 0001,A,O,Duties Unassigned,, 2000-01-12 00:00:00,JDL, 
 0002,A,O,General Officer,, 2000-01-12 00:00:00,JDL, 
 0003,A,O,"Relieved From Duty, Sick in Hospital or Quarters",, 2000-01-12 00:00:00,JDL, 
 0005,A,O,ROTC Officer Awaiting Entry On Active Duty,, 2000-01-12 00:00:00,JDL, 
 0006,A,O,Student Officer,, 2000-01-12 00:00:00,JDL, 
 0009,A,O,Special Assignment,, 2000-01-12 00:00:00,JDL, 
 001A,A,W,Unqualified in Authorized Warrant Officer MOS,, 2000-01-12 00:00:00,JDL, 
 002A,A,W,Patient,, 2000-01-12 00:00:00,JDL, 
 0030,A,O,Postal Officer,, 2000-01-12 00:00:00,JDL, 
 003A,A,W,Student,, 2000-01-12 00:00:00,JDL, 
 004A,A,W,Duties Unassigned or in Transit,, 2000-01-12 00:00:00,JDL, 
 005A,A,W,P.O.W.,, 2000-01-12 00:00:00,JDL, 
 006A,A,W,Missing,, 2000-01-12 00:00:00,JDL, 
 007A,A,W,Arrest or Confinement,, 2000-01-12 00:00:00,JDL, 
 008A,A,W,A.W.O.L.,, 2000-01-12 00:00:00,JDL, 
 00A,A,O,Duties Unassigned,, 2000-01-12 00:00:00,JDL, 
 00B,A,E,Diver,, 2000-01-12 00:00:00,JDL, 
 00B,A,O,General Officer,, 2000-01-12 00:00:00,JDL, 
 00C,A,E,Dog Trainer,, 2000-01-12 00:00:00,JDL, 
 00C,A,O,"Relieved From Duty, Sick in Hospital or Quarters",, 2000-01-12 00:00:00,JDL, 
 00D,A,E,Special Duty Assignment,, 2000-01-12 00:00:00,JDL, 
 00D,A,O,ROTC Officer Awaiting Entry On Active Duty/ACDUTRA,, 2000-01-12 00:00:00,JDL, 
 00E,A,E,Recruiter,, 2000-01-12 00:00:00,JDL, 
 00E,A,O,Student Officer,, 2000-01-12 00:00:00,JDL, 
 00F,A,O,Permanent Professor or Permanent Associate Professor,, 2000-01-12 00:00:00,JDL, 
 00H,A,E,Enlisted Aide,, 2000-01-12 00:00:00,JDL, 
 00J,A,E,Club/Community Activities Manager,, 2000-01-12 00:00:00,JDL, 
 00R,A,E,Recruiter/Retention NCO,, 2000-01-12 00:00:00,JDL, 
 00U,A,E,Equal Opportunity Specialist,, 2000-01-12 00:00:00,JDL, 
 00Z,A,E,Command Sergeant Major,, 2000-01-12 00:00:00,JDL, 
 011A,A,W,Branch/MOS Immaterial,, 2000-01-12 00:00:00,JDL, 
 01A,A,O,Branch Immaterial,, 2000-01-12 00:00:00,JDL, 
 01B,A,E,Electrical-Electronic Engineering Assistant,, 2000-01-12 00:00:00,JDL, 
 01C,A,E,Mechanical Engineering Assistant,, 2000-01-12 00:00:00,JDL, 
 01D,A,E,Civil Engineering Assistant,, 2000-01-12 00:00:00,JDL, 
 01E,A,E,Mathematics-Statistics Assistant,, 2000-01-12 00:00:00,JDL, 
 01F,A,E,Physical Sciences Assistant,, 2000-01-12 00:00:00,JDL, 
 01G,A,E,Chemical Engineering Assistant,, 2000-01-12 00:00:00,JDL, 
 01H,A,E,Biological Sciences Assistant,, 2000-01-12 00:00:00,JDL, 
 01K,A,E,Personnel Psychology Specialist,, 2000-01-12 00:00:00,JDL, 
 0205,A,O,Communications & Electronics Staff Officer,, 2000-01-12 00:00:00,JDL, 
 0213,A,O,Post Communication Electronics Officer,, 2000-01-12 00:00:00,JDL, 
 021A,A,W,Club Manager,, 2000-01-12 00:00:00,JDL, 
 0220,A,O,Area Signal Center Officer,, 2000-01-12 00:00:00,JDL, 
 0221,A,O,Communications Center Officer,, 2000-01-12 00:00:00,JDL, 
 02A,A,O,Combat Arms Immaterial,, 2000-01-12 00:00:00,JDL, 
 02B,A,E,Cornet or Trumpet Player,, 2000-01-12 00:00:00,JDL, 
 02C,A,E,Euphonium Player,, 2000-01-12 00:00:00,JDL, 
 02D,A,E,French Horn Player,, 2000-01-12 00:00:00,JDL, 
 02E,A,E,Trombone Player,, 2000-01-12 00:00:00,JDL, 
 02F,A,E,Tuba Player,, 2000-01-12 00:00:00,JDL, 
 02G,A,E,Flute or Piccolo Player,, 2000-01-12 00:00:00,JDL, 
 02H,A,E,Oboe Player,, 2000-01-12 00:00:00,JDL, 
 02J,A,E,Clarinet Player,, 2000-01-12 00:00:00,JDL, 
 02K,A,E,Bassoon Player,, 2000-01-12 00:00:00,JDL, 
 02L,A,E,Saxophone Player,, 2000-01-12 00:00:00,JDL, 
 02M,A,E,Percussion Player,, 2000-01-12 00:00:00,JDL, 
 02N,A,E,Keyboard Player,, 2000-01-12 00:00:00,JDL, 
 02P,A,E,Brass Group Leader,, 2000-01-12 00:00:00,JDL, 
 02Q,A,E,Woodwind Group Leader,, 2000-01-12 00:00:00,JDL, 
 02R,A,E,Percussion Group Leader,, 2000-01-12 00:00:00,JDL, 
 02S,A,E,Special Bands Member,, 2000-01-12 00:00:00,JDL, 
 02T,A,E,Guitar Player,, 2000-01-12 00:00:00,JDL, 
 02U,A,E,Electric Bass Player,, 2000-01-12 00:00:00,JDL, 
 02Z,A,E,Bands Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 0300,A,O,Fixed Plant Signal Unit Commander,, 2000-01-12 00:00:00,JDL, 
 031A,A,W,Bandmaster,, 2000-01-12 00:00:00,JDL, 
 03A,A,O,Logistics Immaterial,, 2000-01-12 00:00:00,JDL, 
 03B,A,E,Performing Arts Specialist,, 2000-01-12 00:00:00,JDL, 
 03C,A,E,Physical Activities Specialist,, 2000-01-12 00:00:00,JDL, 
 03D,A,E,Arts & Crafts Specialist,, 2000-01-12 00:00:00,JDL, 
 03Z,A,E,Special Services Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 0405,A,O,Telephone-Digital Communications Officer,, 2000-01-12 00:00:00,JDL, 
 041A,A,W,Food Service Technician,, 2000-01-12 00:00:00,JDL, 
 0425,A,O,Cable Communications Officer,, 2000-01-12 00:00:00,JDL, 
 04A,A,O,Personnel Immaterial,, 2000-01-12 00:00:00,JDL, 
 04B,A,E,Translator-Interpreter,, 2000-01-12 00:00:00,JDL, 
 04C,A,E,Expert Linguist,, 2000-01-12 00:00:00,JDL, 
 0505,A,O,Radio Systems Officer,, 2000-01-12 00:00:00,JDL, 
 051A,A,W,Veterinary Services Technician,, 2000-01-12 00:00:00,JDL, 
 052A,A,W,Non-Morse Intercept Technician,, 2000-01-12 00:00:00,JDL, 
 053A,A,W,Special Identification Technician,, 2000-01-12 00:00:00,JDL, 
 0590,A,O,Radio Controlled Target Airplane Officer,, 2000-01-12 00:00:00,JDL, 
 05A,A,O,AMEDD Immaterial,, 2000-01-12 00:00:00,JDL, 
 05B,A,E,Radio Operator,, 2000-01-12 00:00:00,JDL, 
 05C,A,E,Radio Teletype Operator,, 2000-01-12 00:00:00,JDL, 
 05D,A,E,EW/SIGINT Emitter Identifier/Locator,, 2000-01-12 00:00:00,JDL, 
 05E,A,E,Voice-Radio Operator,, 2000-01-12 00:00:00,JDL, 
 05F,A,E,Radio Teletypewriter Operator (Non-Morse),, 2000-01-12 00:00:00,JDL, 
 05G,A,E,Signal Security Specialist,, 2000-01-12 00:00:00,JDL, 
 05H,A,E,EW/SIGINT Morse Interceptor,, 2000-01-12 00:00:00,JDL, 
 05K,A,E,EW/SIGINT Non-Morse Interceptor,, 2000-01-12 00:00:00,JDL, 
 0600,A,O,Motor Officer,, 2000-01-12 00:00:00,JDL, 
 0609,A,O,Highway Transport Planning Officer,, 2000-01-12 00:00:00,JDL, 
 0612,A,O,Field Transportation Officer,, 2000-01-12 00:00:00,JDL, 
 0615,A,O,Highway Traffic Engineer,, 2000-01-12 00:00:00,JDL, 
 0660,A,O,Highway Transport Officer,, 2000-01-12 00:00:00,JDL, 
 0663,A,O,Engineer Equipment Officer,, 2000-01-12 00:00:00,JDL, 
 0668,A,O,Amphibious Craft Officer,, 2000-01-12 00:00:00,JDL, 
 0692,A,O,Transportation Officer,, 2000-01-12 00:00:00,JDL, 
 0693,A,O,Transportation Traffic Management Officer,, 2000-01-12 00:00:00,JDL, 
 0694,A,O,Transportation Movements Officer,, 2000-01-12 00:00:00,JDL, 
 0706,A,O,Trainmaster,, 2000-01-12 00:00:00,JDL, 
