UNFRMD_SRVC_RNK_CD,SVC_CD,PAY_GRD_CD,USR_SHRT_NM,USR_OFCR_IND_CD,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,BLANK
 00,A,,UNK,,, 2000-01-12 00:00:00,JDL, 
 00,F,,UNK,,, 2000-01-12 00:00:00,JDL, 
 00,K,,UNK,,, 2000-01-12 00:00:00,JDL, 
 00,M,,UNK,,, 2000-01-12 00:00:00,JDL, 
 00,N,,UNK,N,, 2000-01-12 00:00:00,JDL, 
 00,P,,UNK,,, 2000-01-12 00:00:00,JDL, 
 01,N,O10,ADM,Y,, 2000-01-12 00:00:00,JDL, 
 01,P,O10,ADM,Y,, 2000-01-12 00:00:00,JDL, 
 02,F,E2,Amn,N,, 2000-01-12 00:00:00,JDL, 
 03,F,E1,AB,N,, 2000-01-12 00:00:00,JDL, 
 04,F,E3,A1C,N,, 2000-01-12 00:00:00,JDL, 
 05,A,O7,BG,Y,, 2000-01-12 00:00:00,JDL, 
 05,F,O7,BGen,Y,, 2000-01-12 00:00:00,JDL, 
 05,M,O7,BGen,Y,, 2000-01-12 00:00:00,JDL, 
 06,A,O3,CPT,Y,, 2000-01-12 00:00:00,JDL, 
 06,F,O3,Capt,Y,, 2000-01-12 00:00:00,JDL, 
 06,M,O3,Capt,Y,, 2000-01-12 00:00:00,JDL, 
 06,N,O6,CAPT,Y,, 2000-01-12 00:00:00,JDL, 
 06,P,O6,CAPT,Y,, 2000-01-12 00:00:00,JDL, 
 07,F,E9,CMSgt,N,, 2000-01-12 00:00:00,JDL, 
 08,F,E9,CMSAF,N,, 2000-01-12 00:00:00,JDL, 
 09,N,E7,CPO,N,, 2000-01-12 00:00:00,JDL, 
 09,P,E7,CPO,N,, 2000-01-12 00:00:00,JDL, 
 10,A,W5,CW5,Y,, 2000-01-12 00:00:00,JDL, 
 10,M,W5,W5,Y,, 2000-01-12 00:00:00,JDL, 
 11,A,W4,CW4,Y,, 2000-01-12 00:00:00,JDL, 
 11,M,W4,W4,Y,, 2000-01-12 00:00:00,JDL, 
 11,N,W4,CWO4,Y,, 2000-01-12 00:00:00,JDL, 
 11,P,W4,CWO4,Y,, 2000-01-12 00:00:00,JDL, 
 12,A,W3,CW3,Y,, 2000-01-12 00:00:00,JDL, 
 12,M,W3,W3,Y,, 2000-01-12 00:00:00,JDL, 
 12,N,W3,CWO3,Y,, 2000-01-12 00:00:00,JDL, 
 12,P,W3,CWO3,Y,, 2000-01-12 00:00:00,JDL, 
 13,A,W2,CW2,Y,, 2000-01-12 00:00:00,JDL, 
 13,M,W2,W2,Y,, 2000-01-12 00:00:00,JDL, 
 13,N,W2,CWO2,Y,, 2000-01-12 00:00:00,JDL, 
 13,P,W2,CWO2,Y,, 2000-01-12 00:00:00,JDL, 
 14,A,O6,COL,Y,, 2000-01-12 00:00:00,JDL, 
 14,F,O6,Col,Y,, 2000-01-12 00:00:00,JDL, 
 14,M,O6,Col,Y,, 2000-01-12 00:00:00,JDL, 
 15,A,E9,CSM,N,, 2000-01-12 00:00:00,JDL, 
 16,N,O5,CDR,Y,, 2000-01-12 00:00:00,JDL, 
 16,P,O5,CDR,Y,, 2000-01-12 00:00:00,JDL, 
 17,A,E4,CPL,N,, 2000-01-12 00:00:00,JDL, 
 17,M,E4,Cpl,N,, 2000-01-12 00:00:00,JDL, 
 18,N,O1,ENS,Y,, 2000-01-12 00:00:00,JDL, 
 19,A,O2,1LT,Y,, 2000-01-12 00:00:00,JDL, 
 19,F,O2,1stLt,Y,, 2000-01-12 00:00:00,JDL, 
 19,M,O2,1stLt,Y,, 2000-01-12 00:00:00,JDL, 
 1G,K,,GS-11,Y,, 2000-01-12 00:00:00,JDL, 
 20,A,E8,1SG,N,, 2000-01-12 00:00:00,JDL, 
 20,F,E7,1st Sg,N,, 2000-01-12 00:00:00,JDL, 
 20,M,E8,1stSgt,N,, 2000-01-12 00:00:00,JDL, 
 21,N,O11,FADM,Y,, 2000-01-12 00:00:00,JDL, 
 21,P,O11,FADM,Y,, 2000-01-12 00:00:00,JDL, 
 22,A,O10,GEN,Y,, 2000-01-12 00:00:00,JDL, 
 22,F,O10,Gen,Y,, 2000-01-12 00:00:00,JDL, 
 22,M,O10,Gen,Y,, 2000-01-12 00:00:00,JDL, 
 24,A,O11,GA,Y,, 2000-01-12 00:00:00,JDL, 
 25,M,E7,GySgt,N,, 2000-01-12 00:00:00,JDL, 
 26,M,E3,LCpl,N,, 2000-01-12 00:00:00,JDL, 
 27,N,O3,LT,Y,, 2000-01-12 00:00:00,JDL, 
 27,P,O3,LT,Y,, 2000-01-12 00:00:00,JDL, 
 28,A,O5,LTC,Y,, 2000-01-12 00:00:00,JDL, 
 28,F,O5,LtCol,Y,, 2000-01-12 00:00:00,JDL, 
 28,M,O5,LtCol,Y,, 2000-01-12 00:00:00,JDL, 
 29,N,O4,LCDR,Y,, 2000-01-12 00:00:00,JDL, 
 29,P,O4,LCDR,Y,, 2000-01-12 00:00:00,JDL, 
 2G,K,,GS-12,Y,, 2000-01-12 00:00:00,JDL, 
 30,A,O9,LTG,Y,, 2000-01-12 00:00:00,JDL, 
 30,F,O9,LtGen,Y,, 2000-01-12 00:00:00,JDL, 
 30,M,O9,LtGen,Y,, 2000-01-12 00:00:00,JDL, 
 31,N,O2,LTJG,Y,, 2000-01-12 00:00:00,JDL, 
 32,A,O4,MAJ,Y,, 2000-01-12 00:00:00,JDL, 
 32,F,O4,Maj,Y,, 2000-01-12 00:00:00,JDL, 
 32,M,O4,Maj,Y,, 2000-01-12 00:00:00,JDL, 
 33,A,O8,MG,Y,, 2000-01-12 00:00:00,JDL, 
 33,F,O8,MajGen,Y,, 2000-01-12 00:00:00,JDL, 
 33,M,O8,MajGen,Y,, 2000-01-12 00:00:00,JDL, 
 34,N,E9,MCPO,N,, 2000-01-12 00:00:00,JDL, 
 34,P,E9,MCPO,N,, 2000-01-12 00:00:00,JDL, 
 35,P,E9,MCPOCG,N,, 2000-01-12 00:00:00,JDL, 
 36,N,E9,MCPON,N,, 2000-01-12 00:00:00,JDL, 
 37,M,E9,MGySgt,N,, 2000-01-12 00:00:00,JDL, 
 38,A,E8,MSG,N,, 2000-01-12 00:00:00,JDL, 
 38,F,E7,MSgt,N,, 2000-01-12 00:00:00,JDL, 
 38,M,E8,MSgt,N,, 2000-01-12 00:00:00,JDL, 
 39,N,W5,CWO5,Y,, 2000-01-12 00:00:00,JDL, 
 39,P,W5,CWO5,Y,, 2000-01-12 00:00:00,JDL, 
 3G,K,,GS-13,Y,, 2000-01-12 00:00:00,JDL, 
 40,A,E7,PSG,N,, 2000-01-12 00:00:00,JDL, 
 41,N,E6,PO1,N,, 2000-01-12 00:00:00,JDL, 
 41,P,E6,PO1,N,, 2000-01-12 00:00:00,JDL, 
 42,N,E5,PO2,N,, 2000-01-12 00:00:00,JDL, 
 42,P,E5,PO2,N,, 2000-01-12 00:00:00,JDL, 
 43,N,E4,PO3,N,, 2000-01-12 00:00:00,JDL, 
 43,P,E4,PO3,N,, 2000-01-12 00:00:00,JDL, 
 44,A,E1,PVT,N,, 2000-01-12 00:00:00,JDL, 
 44,M,E1,Pvt,N,, 2000-01-12 00:00:00,JDL, 
 45,A,E2,PV2,N,, 2000-01-12 00:00:00,JDL, 
 46,A,E3,PFC,N,, 2000-01-12 00:00:00,JDL, 
 46,M,E2,PFC,N,, 2000-01-12 00:00:00,JDL, 
 47,N,O7,RADM,Y,, 2000-01-12 00:00:00,JDL, 
 47,P,O7,RADM,Y,, 2000-01-12 00:00:00,JDL, 
 48,N,O8,RADM,Y,, 2000-01-12 00:00:00,JDL, 
 48,P,O8,RADM,Y,, 2000-01-12 00:00:00,JDL, 
 49,N,E3,SN,N,, 2000-01-12 00:00:00,JDL, 
 49,P,E3,SN,N,, 2000-01-12 00:00:00,JDL, 
 4G,K,,GS-14,Y,, 2000-01-12 00:00:00,JDL, 
 50,N,E2,SA,N,, 2000-01-12 00:00:00,JDL, 
 50,P,E2,SA,N,, 2000-01-12 00:00:00,JDL, 
 51,N,E1,SR,N,, 2000-01-12 00:00:00,JDL, 
 51,P,E1,SR,N,, 2000-01-12 00:00:00,JDL, 
 52,A,E9,SGM,N,, 2000-01-12 00:00:00,JDL, 
