ASSEMBLY_ID,COMPONENT_ID,NODE_ID,BLANK
3ID-135-CSMART,3ID-135-CMT|11-ENGBN,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-64-ARBN,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-9-FABN,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-BDE-3ID-HHC,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|26-FSB,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|3-15-INFBN,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|3-7-INFBN,1-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|10-TCBN-HHC,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|110-QMCO-POLSPLY,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|119-TCCO-CGO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|147-MEDLOGBN,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|157-QMCO-FSVC,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|180-TCBN-HHD,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|186-WTRPURDET,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|18-QMPLT,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|202-WTRPURDET,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|21-MED-CSHOSP,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|226-QMCO-SPLY,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|24-CSB-HHD,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|24-ODCO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|24-SPTGP-HHC,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|259-QMCO-FSVC,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|343-QMCO-SPLY,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|36-MEDEVACBN-GAMBCO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|396-TCCO-PLS,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|406-TCDET-TPT,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|416-TKCO-POL,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|418-TKCO-POL,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|512-QMCO-WTRSPLY,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|553-CSB-HHD,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|571-MEDDET-AMBL,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|602-MAINTCO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|61-ASMEDBN-MEDCO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|632-MAINTCO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|89-TKCO-CGO,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|92-ENGBN-CBTHVY,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|96-TCCO-HET,24-SPTGP-NODE, 
3ID-135-CSMART,3ID-135-CMT|10-ENGBN,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-41-FABN,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|2-7-INFBN,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|2-BDE-3ID-HHC,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|3-69-ARBN,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|3-FSB,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|4-64-ARBN,2-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-10-FABN,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-15-INFBN,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-30-INFBN,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|203-FSB,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|2-69-ARBN,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|317-ENGBN,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|3-BDE-3ID-HHC,3-BDE-NODE, 
3ID-135-CSMART,3ID-135-CMT|103-MIBN,3ID-DIV-NODE, 
3ID-135-CSMART,3ID-135-CMT|123-SIGBN,3ID-DIV-NODE, 
3ID-135-CSMART,3ID-135-CMT|12-FABTRY,3ID-DIV-NODE, 
3ID-135-CSMART,3ID-135-CMT|1-3-ADABN,3ID-DIV-NODE, 
3ID-135-CSMART,3ID-135-CMT|324-SCBN-TRITAC,3ID-DIV-NODE, 
3ID-135-CSMART,3ID-135-CMT|39-FABTRY,3ID-DIV-NODE, 
