ASSEMBLY_ID,OPLAN_ID,COMPONENT_ID,START_CDAY,END_CDAY,ATTRIBUTE_NAME,ATTRIBUTE_VALUE,BLANK
3ID-135-CMT,093FF,103-MIBN,0,21,ACTIVITY_TYPE,Deployment, 
3ID-135-CMT,093FF,103-MIBN,0,21,LOCATION,FGQS, 
3ID-135-CMT,093FF,103-MIBN,0,21,OPTEMPO,Low, 
3ID-135-CMT,093FF,103-MIBN,21,36,ACTIVITY_TYPE,Employment-Offensive, 
3ID-135-CMT,093FF,103-MIBN,21,36,LOCATION,FGQS, 
3ID-135-CMT,093FF,103-MIBN,21,36,OPTEMPO,High, 
3ID-135-CMT,093FF,103-MIBN,36,46,ACTIVITY_TYPE,Employment-Offensive, 
3ID-135-CMT,093FF,103-MIBN,36,46,LOCATION,FGQS, 
3ID-135-CMT,093FF,103-MIBN,36,46,OPTEMPO,Medium, 
3ID-135-CMT,093FF,103-MIBN,46,181,ACTIVITY_TYPE,Stand-Down, 
3ID-135-CMT,093FF,103-MIBN,46,181,LOCATION,FGQS, 
3ID-135-CMT,093FF,103-MIBN,46,181,OPTEMPO,Low, 
3ID-135-CMT,093FF,103-MIBN,181,225,ACTIVITY_TYPE,Redeployment, 
3ID-135-CMT,093FF,103-MIBN,181,225,LOCATION,FGQS, 
3ID-135-CMT,093FF,103-MIBN,181,225,OPTEMPO,Low, 
3ID-135-CMT,093FF,10-ENGBN,0,31,ACTIVITY_TYPE,Deployment, 
3ID-135-CMT,093FF,10-ENGBN,0,31,LOCATION,FGQS, 
3ID-135-CMT,093FF,10-ENGBN,0,31,OPTEMPO,Low, 
3ID-135-CMT,093FF,10-ENGBN,31,36,ACTIVITY_TYPE,Employment-Offensive, 
3ID-135-CMT,093FF,10-ENGBN,31,36,LOCATION,LOC-3ID-2BDE, 
3ID-135-CMT,093FF,10-ENGBN,31,36,OPTEMPO,High, 
3ID-135-CMT,093FF,10-ENGBN,36,46,ACTIVITY_TYPE,Employment-Offensive, 
3ID-135-CMT,093FF,10-ENGBN,36,46,LOCATION,LOC-3ID-2BDE, 
3ID-135-CMT,093FF,10-ENGBN,36,46,OPTEMPO,Medium, 
3ID-135-CMT,093FF,10-ENGBN,46,181,ACTIVITY_TYPE,Stand-Down, 
3ID-135-CMT,093FF,10-ENGBN,46,181,LOCATION,LOC-3ID-2BDE, 
3ID-135-CMT,093FF,10-ENGBN,46,181,OPTEMPO,Low, 
3ID-135-CMT,093FF,10-ENGBN,181,225,ACTIVITY_TYPE,Redeployment, 
3ID-135-CMT,093FF,10-ENGBN,181,225,LOCATION,FGQS, 
3ID-135-CMT,093FF,10-ENGBN,181,225,OPTEMPO,Low, 
3ID-135-CMT,093FF,10-TCBN-HHC,0,11,ACTIVITY_TYPE,Deployment, 
3ID-135-CMT,093FF,10-TCBN-HHC,0,11,LOCATION,LQCN, 
3ID-135-CMT,093FF,10-TCBN-HHC,0,11,OPTEMPO,Low, 
3ID-135-CMT,093FF,10-TCBN-HHC,11,21,ACTIVITY_TYPE,Employment-CSS, 
3ID-135-CMT,093FF,10-TCBN-HHC,11,21,LOCATION,LQCN, 
3ID-135-CMT,093FF,10-TCBN-HHC,11,21,OPTEMPO,Medium, 
3ID-135-CMT,093FF,10-TCBN-HHC,21,36,ACTIVITY_TYPE,Employment-CSS, 
3ID-135-CMT,093FF,10-TCBN-HHC,21,36,LOCATION,LQCN, 
3ID-135-CMT,093FF,10-TCBN-HHC,21,36,OPTEMPO,Medium, 
3ID-135-CMT,093FF,10-TCBN-HHC,36,46,ACTIVITY_TYPE,Employment-CSS, 
3ID-135-CMT,093FF,10-TCBN-HHC,36,46,LOCATION,LQCN, 
3ID-135-CMT,093FF,10-TCBN-HHC,36,46,OPTEMPO,Medium, 
3ID-135-CMT,093FF,10-TCBN-HHC,46,181,ACTIVITY_TYPE,Stand-Down, 
3ID-135-CMT,093FF,10-TCBN-HHC,46,181,LOCATION,LQCN, 
3ID-135-CMT,093FF,10-TCBN-HHC,46,181,OPTEMPO,Low, 
3ID-135-CMT,093FF,10-TCBN-HHC,181,225,ACTIVITY_TYPE,Redeployment, 
3ID-135-CMT,093FF,10-TCBN-HHC,181,225,LOCATION,LQCN, 
3ID-135-CMT,093FF,10-TCBN-HHC,181,225,OPTEMPO,Low, 
3ID-135-CMT,093FF,1-10-FABN,60,91,ACTIVITY_TYPE,Deployment, 
3ID-135-CMT,093FF,1-10-FABN,60,91,LOCATION,FGQS, 
