COMPONENT_LIB_ID,ARGUMENT,BLANK
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'-AmmunitionInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'-ConsumableInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'-DLAInventoryManager', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+AmmunitionInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+BulkPOLInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+BulkPOLTransport', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+ConsumableInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+FuelsSourcingAllocator', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+PackagedPOLInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'+PackagedPOLTransport', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'Ammunition_inv=FSB_ammunition.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'BulkPOL_inv=FSB_bulkpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'BulkPOL_inv=POLSPLY_bulkpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'BulkPOL_inv=TCBN-HHC_bulkpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'Consumable_inv=FSB_consumable.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'PackagedPOL_inv=FSB_packagedpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'PackagedPOL_inv=POLSPLY_packagedpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,'PackagedPOL_inv=TCBN-HHC_packagedpol.inv', 
