PG_ATTRIBUTE_LIB_ID,PG_NAME,ATTRIBUTE_NAME,ATTRIBUTE_TYPE,AGGREGATE_TYPE,BLANK
ItemIdentificationPG|ItemIdentification,ItemIdentificationPG,ItemIdentification,String,SINGLE, 
ItemIdentificationPG|Nomenclature,ItemIdentificationPG,Nomenclature,String,SINGLE, 
TypeIdentificationPG|TypeIdentification,TypeIdentificationPG,TypeIdentification,String,SINGLE, 
TypeIdentificationPG|AlternateTypeIdentification,TypeIdentificationPG,AlternateTypeIdentification,String,SINGLE, 
TypeIdentificationPG|Nomenclature,TypeIdentificationPG,Nomenclature,String,SINGLE, 
ClusterPG|ClusterIdentifier,ClusterPG,ClusterIdentifier,ClusterIdentifier,SINGLE, 
OrganizationPG|Roles,OrganizationPG,Roles,Role,COLLECTION, 
OrganizationPG|Service,OrganizationPG,Service,Service,SINGLE, 
OrganizationPG|Agency,OrganizationPG,Agency,Agency,SINGLE, 
MilitaryOrgPG|UIC,MilitaryOrgPG,UIC,String,SINGLE, 
MilitaryOrgPG|Echelon,MilitaryOrgPG,Echelon,String,SINGLE, 
MilitaryOrgPG|UTC,MilitaryOrgPG,UTC,String,SINGLE, 
MilitaryOrgPG|SRC,MilitaryOrgPG,SRC,String,SINGLE, 
MilitaryOrgPG|Hierarchy2525,MilitaryOrgPG,Hierarchy2525,String,SINGLE, 
MilitaryOrgPG|IsReserve,MilitaryOrgPG,IsReserve,boolean,SINGLE, 
CSSCapabilityPG|Capabilities,CSSCapabilityPG,Capabilities,CSSCapability,COLLECTION, 
MaintenancePG|Level,MaintenancePG,Level,String,SINGLE, 
