COMPONENT_ALIB_ID,COMPONENT_NAME,COMPONENT_LIB_ID,COMPONENT_TYPE,CLONE_SET_ID,BLANK
103-MIBN|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,103-MIBN|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
103-MIBN|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,103-MIBN|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,0, 
103-MIBN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,103-MIBN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,0, 
103-MIBN|org.cougaar.lib.planserver.PlanServerPlugIn,103-MIBN|org.cougaar.lib.planserver.PlanServerPlugIn,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin,0, 
10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,10-ENGBN|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,0, 
10-ENGBN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,10-ENGBN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,0, 
10-ENGBN|org.cougaar.lib.planserver.PlanServerPlugIn,10-ENGBN|org.cougaar.lib.planserver.PlanServerPlugIn,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,0, 
10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,0, 
10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,0, 
10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,10-TCBN-HHC|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,10-TCBN-HHC|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,0, 
10-TCBN-HHC|org.cougaar.lib.planserver.PlanServerPlugIn,10-TCBN-HHC|org.cougaar.lib.planserver.PlanServerPlugIn,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,plugin,0, 
1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,1-10-FABN|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin|org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,plugin,0, 
1-10-FABN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,1-10-FABN|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin|org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,plugin,0, 
1-10-FABN|org.cougaar.lib.planserver.PlanServerPlugIn,1-10-FABN|org.cougaar.lib.planserver.PlanServerPlugIn,plugin|org.cougaar.lib.planserver.PlanServerPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,plugin,0, 
110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,110-QMCO-POLSPLY|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,plugin,0, 
