COMPONENT_LIB_ID,COMPONENT_TYPE,COMPONENT_CLASS,INSERTION_POINT,DESCRIPTION,BLANK
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Inventory Management Plugin, 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Provides MEI asset prototypes & PGs from database, 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Provides Part asset prototypes & PGs from database, 
plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Subsistence Consumer LDM, 
plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Subsistence Inventory Manager, 
plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Subsistence LDM, 
plugin|mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Subsistence Projection, 
plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Supply Projector Plugin: Ammunition-BulkPOL-Consumable, 
plugin|mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Transport Aggregator, 
plugin|mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugin,plugin,mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Transport Allocator, 
