COMPONENT_ALIB_ID,MACHINE_NAME,IP_ADDRESS,OPERATING_SYSTEM,DESCRIPTION,BLANK,CLOCK_SPEED,RAM,BAR_CODE,LOCATION
machine|mt_blanc.alpine.bbn.com,mt_blanc.alpine.bbn.com,192.1.100.200,Linux,400 MHz|384 MBytes, ,400,384,8309,BBN-Camb Lab
machine|everest.alpine.bbn.com,everest.alpine.bbn.com,192.1.100.19,Linux,450 MHz|512 MBytes, ,450,512,8838,BBN-Camb Lab
machine|fuji.alpine.bbn.com,fuji.alpine.bbn.com,192.1.100.18,Linux,450 MHz|512 MBytes, ,450,512,8821,BBN-Camb Lab
machine|ranier.alpine.bbn.com,ranier.alpine.bbn.com,192.1.100.199,WinNT,450 MHz|512 MBytes, ,450,512,8814,BBN-Camb Lab
machine|sandwich.alpine.bbn.com,sandwich.alpine.bbn.com,192.1.100.22,Linux,450 MHz|512 MBytes, ,450,512,8812,BBN-Camb Lab
machine|washington.alpine.bbn.com,washington.alpine.bbn.com,192.1.100.16,Linux,450 MHz|512 MBytes, ,450,512,8809,BBN-Camb Lab
machine|hood.alpine.bbn.com,hood.alpine.bbn.com,192.1.100.196,WinNT,450 MHz|512 MBytes, ,450,512,8811,BBN-Camb Lab
machine|matterhorn.alpine.bbn.com,matterhorn.alpine.bbn.com,192.1.100.191,Linux,450 MHz|512 MBytes, ,450,512,8823,BBN-Camb Lab
machine|olympus.alpine.bbn.com,olympus.alpine.bbn.com,192.1.100.192,Linux/WinNT,400 MHz|384 MBytes, ,400,384,8305,BBN-Camb Lab
machine|u010e,u010e,192.168.0.10,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u012e,u012e,192.168.0.12,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u014e,u014e,192.168.10.14,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u016e,u016e,192.168.10.16,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u018e,u018e,192.168.10.18,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u020e,u020e,192.168.20.20,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u022e,u022e,192.168.20.22,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u024e,u024e,192.168.20.24,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u026e,u026e,192.168.20.26,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u028e,u028e,192.168.20.28,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u030e,u030e,192.168.30.30,Win2000,1500 MHz|512 MBytes, ,1500,512,n/a,TIC
machine|u032e,u032e,192.168.30.32,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u034e,u034e,192.168.30.34,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u036e,u036e,192.168.30.36,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u038e,u038e,192.168.30.38,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u040e,u040e,192.168.40.40,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u042a,u042a,192.168.40.42,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u044a,u044a,192.168.40.44,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u046p,u046p,192.168.40.46,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u048p,u048p,192.168.40.48,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u050p,u050p,192.168.1.50,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
machine|u052p,u052p,192.168.1.52,Win2000,1500 MHz|512 MBytes, ,1500,512,,TIC
