CFW_GROUP_ID,ORG_ID,BLANK
3ID-CFW-GRP-A,103-MIBN, 
3ID-CFW-GRP-A,10-ENGBN, 
3ID-CFW-GRP-A,10-TCBN-HHC, 
3ID-CFW-GRP-A,1-10-FABN, 
3ID-CFW-GRP-A,110-QMCO-POLSPLY, 
3ID-CFW-GRP-A,1-14-CAVSQDN, 
3ID-CFW-GRP-A,1-15-INFBN, 
3ID-CFW-GRP-A,119-TCCO-CGO, 
3ID-CFW-GRP-A,11-ENGBN, 
3ID-CFW-GRP-A,1-23-INFBN, 
3ID-CFW-GRP-A,123-SIGBN, 
3ID-CFW-GRP-A,126-MEDTM-FSURG, 
3ID-CFW-GRP-A,12-FABTRY, 
3ID-CFW-GRP-A,1-30-INFBN, 
3ID-CFW-GRP-A,1-37-FABN, 
3ID-CFW-GRP-A,1-3-ADABN, 
3ID-CFW-GRP-A,1-3-AVNBN, 
3ID-CFW-GRP-A,1-41-FABN, 
3ID-CFW-GRP-A,147-MEDLOGBN, 
3ID-CFW-GRP-A,157-QMCO-FSVC, 
3ID-CFW-GRP-A,1-64-ARBN, 
3ID-CFW-GRP-A,180-TCBN-HHD, 
3ID-CFW-GRP-A,186-WTRPURDET, 
3ID-CFW-GRP-A,18-ENGCO, 
3ID-CFW-GRP-A,18-QMPLT, 
3ID-CFW-GRP-A,1-9-FABN, 
3ID-CFW-GRP-A,1-BDE-3ID-HHC, 
3ID-CFW-GRP-A,202-WTRPURDET, 
3ID-CFW-GRP-A,203-FSB, 
3ID-CFW-GRP-A,209-MICO, 
3ID-CFW-GRP-A,21-MED-CSHOSP, 
3ID-CFW-GRP-A,226-QMCO-SPLY, 
3ID-CFW-GRP-A,2-3-AVNBN, 
3ID-CFW-GRP-A,2-3-INFBN, 
3ID-CFW-GRP-A,24-CSB-HHD, 
3ID-CFW-GRP-A,24-ODCO, 
3ID-CFW-GRP-A,24-SPTGP-HHC, 
3ID-CFW-GRP-A,259-QMCO-FSVC, 
3ID-CFW-GRP-A,2-69-ARBN, 
3ID-CFW-GRP-A,26-FSB, 
3ID-CFW-GRP-A,2-7-INFBN, 
3ID-CFW-GRP-A,296-SPTBN, 
3ID-CFW-GRP-A,2-BDE-3ID-HHC, 
3ID-CFW-GRP-A,3-15-INFBN, 
3ID-CFW-GRP-A,317-ENGBN, 
3ID-CFW-GRP-A,324-SCBN-TRITAC, 
3ID-CFW-GRP-A,334-SIGCO, 
3ID-CFW-GRP-A,343-QMCO-SPLY, 
3ID-CFW-GRP-A,3-69-ARBN, 
3ID-CFW-GRP-A,36-MEDEVACBN-GAMBCO, 
3ID-CFW-GRP-A,3-7-CAVSQDN, 
3ID-CFW-GRP-A,3-7-INFBN, 
3ID-CFW-GRP-A,396-TCCO-PLS, 
3ID-CFW-GRP-A,39-FABTRY, 
3ID-CFW-GRP-A,3-AVNBDE-HHC, 
3ID-CFW-GRP-A,3-BDE-2ID-HHC, 
3ID-CFW-GRP-A,3-BDE-3ID-HHC, 
3ID-CFW-GRP-A,3-DISCOM-HHC, 
3ID-CFW-GRP-A,3-FSB, 
3ID-CFW-GRP-A,3ID-HHC, 
3ID-CFW-GRP-A,3-MPCO, 
3ID-CFW-GRP-A,406-TCDET-TPT, 
3ID-CFW-GRP-A,416-TKCO-POL, 
3ID-CFW-GRP-A,418-TKCO-POL, 
3ID-CFW-GRP-A,4-64-ARBN, 
3ID-CFW-GRP-A,512-QMCO-WTRSPLY, 
3ID-CFW-GRP-A,5-20-INFBN, 
3ID-CFW-GRP-A,52-INF-CCO, 
3ID-CFW-GRP-A,553-CSB-HHD, 
3ID-CFW-GRP-A,571-MEDDET-AMBL, 
3ID-CFW-GRP-A,602-MAINTCO, 
3ID-CFW-GRP-A,603-DASB, 
3ID-CFW-GRP-A,61-ASMEDBN-MEDCO, 
3ID-CFW-GRP-A,632-MAINTCO, 
3ID-CFW-GRP-A,703-MSB, 
3ID-CFW-GRP-A,89-TKCO-CGO, 
3ID-CFW-GRP-A,92-ENGBN-CBTHVY, 
3ID-CFW-GRP-A,96-TCCO-HET, 
3ID-CFW-GRP-A,CENTCOM-HHC, 
3ID-CFW-GRP-A,DIVARTY-3ID-HHB, 
3ID-CFW-GRP-A,DLAHQ, 
3ID-CFW-GRP-A,ENGBDE-3ID-HHD, 
3ID-CFW-GRP-A,IOC, 
3ID-CFW-GRP-A,JTF-HHC, 
3ID-CFW-GRP-A,NCA, 
3ID-CFW-GRP-A,TRANSCOM, 
SMALL-3ID-CFW-GRP,NCA, 
SMALL-3ID-CFW-GRP,CENTCOM-HHC, 
SMALL-3ID-CFW-GRP,JTF-HHC, 
SMALL-3ID-CFW-GRP,3ID-HHC, 
SMALL-3ID-CFW-GRP,3-DISCOM-HHC, 
SMALL-3ID-CFW-GRP,703-MSB, 
SMALL-3ID-CFW-GRP,3-BDE-2ID-HHC, 
SMALL-3ID-CFW-GRP,1-23-INFBN, 
SMALL-3ID-CFW-GRP,296-SPTBN, 
SMALL-3ID-CFW-GRP,2-BDE-3ID-HHC, 
SMALL-3ID-CFW-GRP,2-7-INFBN, 
SMALL-3ID-CFW-GRP,3-69-ARBN, 
SMALL-3ID-CFW-GRP,3-FSB, 
SMALL-3ID-CFW-GRP,24-SPTGP-HHC, 
SMALL-3ID-CFW-GRP,24-CSB-HHD, 
SMALL-3ID-CFW-GRP,110-QMCO-POLSPLY, 
SMALL-3ID-CFW-GRP,553-CSB-HHD, 
SMALL-3ID-CFW-GRP,10-TCBN-HHC, 
SMALL-3ID-CFW-GRP,416-TKCO-POL, 
SMALL-3ID-CFW-GRP,89-TKCO-CGO, 
SMALL-3ID-CFW-GRP,180-TCBN-HHD, 
SMALL-3ID-CFW-GRP,418-TKCO-POL, 
SMALL-3ID-CFW-GRP,92-ENGBN-CBTHVY, 
SMALL-3ID-CFW-GRP,DLAHQ, 
SMALL-3ID-CFW-GRP,IOC, 
SMALL-3ID-CFW-GRP,TRANSCOM, 
