CFW_ID,ORG_GROUP_ID,MEMBER_ORG_GROUP_ID,BLANK
3ID-CFW,24-SPTGP-OG,10-TCBN-OG, 
3ID-CFW,24-SPTGP-OG,180-TCBN-OG, 
3ID-CFW,24-SPTGP-OG,21-MED-OG, 
3ID-CFW,24-SPTGP-OG,24-CSB-OG, 
3ID-CFW,24-SPTGP-OG,553-CSB-OG, 
3ID-CFW,24-SPTGP--OG,10-TCBN-OG, 
3ID-CFW,24-SPTGP--OG,180-TCBN-OG, 
3ID-CFW,24-SPTGP--OG,21-MED-OG, 
3ID-CFW,24-SPTGP--OG,24-CSB-OG, 
3ID-CFW,24-SPTGP--OG,553-CSB-OG, 
3ID-CFW,3ID-OG,1-BDE-OG, 
3ID-CFW,3ID-OG,24-SPTGP-OG, 
3ID-CFW,3ID-OG,2-BDE-OG, 
3ID-CFW,3ID-OG,3-BDE-OG, 
3ID-CFW,3ID-OG,3ID-DIV-OG, 
3ID-CFW,3ID-OG,AVNBDE-3ID-OG, 
3ID-CFW,3ID-OG,IBCT-OG, 
