CFW_ID,ORG_GROUP_ID,ORG_ID,BLANK,OG
3ID-CFW,10-TCBN-OG,10-TCBN-HHC, ,T
3ID-CFW,10-TCBN-OG,119-TCCO-CGO, ,T
3ID-CFW,10-TCBN-OG,396-TCCO-PLS, ,T
3ID-CFW,10-TCBN-OG,416-TKCO-POL, ,T
3ID-CFW,10-TCBN-OG,89-TKCO-CGO, ,T
3ID-CFW,10-TCBN--OG,119-TCCO-CGO, ,T
3ID-CFW,10-TCBN--OG,396-TCCO-PLS, ,T
3ID-CFW,10-TCBN--OG,416-TKCO-POL, ,T
3ID-CFW,10-TCBN--OG,89-TKCO-CGO, ,T
3ID-CFW,180-TCBN-OG,180-TCBN-HHD, ,T
3ID-CFW,180-TCBN-OG,406-TCDET-TPT, ,T
3ID-CFW,180-TCBN-OG,418-TKCO-POL, ,T
3ID-CFW,180-TCBN-OG,96-TCCO-HET, ,T
3ID-CFW,180-TCBN--OG,406-TCDET-TPT, ,T
3ID-CFW,180-TCBN--OG,418-TKCO-POL, ,T
3ID-CFW,180-TCBN--OG,96-TCCO-HET, ,T
3ID-CFW,1-BDE-OG,11-ENGBN, ,T
3ID-CFW,1-BDE-OG,1-64-ARBN, ,T
3ID-CFW,1-BDE-OG,1-9-FABN, ,T
3ID-CFW,1-BDE-OG,1-BDE-3ID-HHC, ,T
3ID-CFW,1-BDE-OG,26-FSB, ,T
3ID-CFW,1-BDE-OG,3-15-INFBN, ,T
3ID-CFW,1-BDE-OG,3-7-INFBN, ,T
3ID-CFW,21-MED-OG,147-MEDLOGBN, ,T
3ID-CFW,21-MED-OG,21-MED-CSHOSP, ,T
3ID-CFW,21-MED-OG,36-MEDEVACBN-GAMBCO, ,T
3ID-CFW,21-MED-OG,571-MEDDET-AMBL, ,T
3ID-CFW,21-MED-OG,61-ASMEDBN-MEDCO, ,T
3ID-CFW,21-MED--OG,147-MEDLOGBN, ,T
3ID-CFW,21-MED--OG,36-MEDEVACBN-GAMBCO, ,T
3ID-CFW,21-MED--OG,571-MEDDET-AMBL, ,T
3ID-CFW,21-MED--OG,61-ASMEDBN-MEDCO, ,T
3ID-CFW,24-CSB-OG,110-QMCO-POLSPLY, ,T
3ID-CFW,24-CSB-OG,24-CSB-HHD, ,T
3ID-CFW,24-CSB-OG,259-QMCO-FSVC, ,T
3ID-CFW,24-CSB-OG,343-QMCO-SPLY, ,T
3ID-CFW,24-CSB-OG,632-MAINTCO, ,T
3ID-CFW,24-CSB--OG,110-QMCO-POLSPLY, ,T
3ID-CFW,24-CSB--OG,259-QMCO-FSVC, ,T
3ID-CFW,24-CSB--OG,343-QMCO-SPLY, ,T
3ID-CFW,24-CSB--OG,632-MAINTCO, ,T
3ID-CFW,24-SPTGP-OG,24-SPTGP-HHC, ,T
3ID-CFW,24-SPTGP-OG,92-ENGBN-CBTHVY, ,T
3ID-CFW,24-SPTGP--OG,92-ENGBN-CBTHVY, ,T
3ID-CFW,2-BDE-OG,10-ENGBN, ,T
3ID-CFW,2-BDE-OG,1-41-FABN, ,T
3ID-CFW,2-BDE-OG,2-7-INFBN, ,T
3ID-CFW,2-BDE-OG,2-BDE-3ID-HHC, ,T
3ID-CFW,2-BDE-OG,3-69-ARBN, ,T
3ID-CFW,2-BDE-OG,3-FSB, ,T
3ID-CFW,2-BDE-OG,4-64-ARBN, ,T
3ID-CFW,3-BDE-OG,1-10-FABN, ,T
3ID-CFW,3-BDE-OG,1-15-INFBN, ,T
3ID-CFW,3-BDE-OG,1-30-INFBN, ,T
3ID-CFW,3-BDE-OG,203-FSB, ,T
3ID-CFW,3-BDE-OG,2-69-ARBN, ,T
3ID-CFW,3-BDE-OG,317-ENGBN, ,T
3ID-CFW,3-BDE-OG,3-BDE-3ID-HHC, ,T
3ID-CFW,3ID-DIV-OG,103-MIBN, ,T
3ID-CFW,3ID-DIV-OG,123-SIGBN, ,T
3ID-CFW,3ID-DIV-OG,12-FABTRY, ,T
3ID-CFW,3ID-DIV-OG,1-3-ADABN, ,T
3ID-CFW,3ID-DIV-OG,324-SCBN-TRITAC, ,T
3ID-CFW,3ID-DIV-OG,39-FABTRY, ,T
3ID-CFW,3ID-DIV-OG,3-DISCOM-HHC, ,T
3ID-CFW,3ID-DIV-OG,3ID-HHC, ,T
3ID-CFW,3ID-DIV-OG,3-MPCO, ,T
