CFW_ID,ORG_ID,BLANK
3ID-CFW,103-MIBN, 
3ID-CFW,10-ENGBN, 
3ID-CFW,10-TCBN-HHC, 
3ID-CFW,1-10-FABN, 
3ID-CFW,110-QMCO-POLSPLY, 
3ID-CFW,1-14-CAVSQDN, 
3ID-CFW,1-15-INFBN, 
3ID-CFW,119-TCCO-CGO, 
3ID-CFW,11-ENGBN, 
3ID-CFW,1-23-INFBN, 
3ID-CFW,123-SIGBN, 
3ID-CFW,126-MEDTM-FSURG, 
3ID-CFW,12-FABTRY, 
3ID-CFW,1-30-INFBN, 
3ID-CFW,1-37-FABN, 
3ID-CFW,1-3-ADABN, 
3ID-CFW,1-3-AVNBN, 
3ID-CFW,1-41-FABN, 
3ID-CFW,147-MEDLOGBN, 
3ID-CFW,157-QMCO-FSVC, 
3ID-CFW,1-64-ARBN, 
3ID-CFW,180-TCBN-HHD, 
3ID-CFW,186-WTRPURDET, 
3ID-CFW,18-ENGCO, 
3ID-CFW,18-QMPLT, 
3ID-CFW,1-9-FABN, 
3ID-CFW,1-BDE-3ID-HHC, 
3ID-CFW,202-WTRPURDET, 
3ID-CFW,203-FSB, 
3ID-CFW,209-MICO, 
3ID-CFW,21-MED-CSHOSP, 
3ID-CFW,226-QMCO-SPLY, 
3ID-CFW,2-3-AVNBN, 
3ID-CFW,2-3-INFBN, 
3ID-CFW,24-CSB-HHD, 
3ID-CFW,24-ODCO, 
3ID-CFW,24-SPTGP-HHC, 
3ID-CFW,259-QMCO-FSVC, 
3ID-CFW,2-69-ARBN, 
3ID-CFW,26-FSB, 
3ID-CFW,2-7-INFBN, 
3ID-CFW,296-SPTBN, 
3ID-CFW,2-BDE-3ID-HHC, 
3ID-CFW,3-15-INFBN, 
3ID-CFW,317-ENGBN, 
3ID-CFW,324-SCBN-TRITAC, 
3ID-CFW,334-SIGCO, 
3ID-CFW,343-QMCO-SPLY, 
3ID-CFW,3-69-ARBN, 
3ID-CFW,36-MEDEVACBN-GAMBCO, 
3ID-CFW,3-7-CAVSQDN, 
3ID-CFW,3-7-INFBN, 
3ID-CFW,396-TCCO-PLS, 
3ID-CFW,39-FABTRY, 
3ID-CFW,3-AVNBDE-HHC, 
3ID-CFW,3-BDE-2ID-HHC, 
3ID-CFW,3-BDE-3ID-HHC, 
3ID-CFW,3-DISCOM-HHC, 
3ID-CFW,3-FSB, 
3ID-CFW,3ID-HHC, 
3ID-CFW,3-MPCO, 
3ID-CFW,406-TCDET-TPT, 
3ID-CFW,416-TKCO-POL, 
3ID-CFW,418-TKCO-POL, 
3ID-CFW,4-64-ARBN, 
3ID-CFW,512-QMCO-WTRSPLY, 
3ID-CFW,5-20-INFBN, 
3ID-CFW,52-INF-CCO, 
3ID-CFW,553-CSB-HHD, 
3ID-CFW,571-MEDDET-AMBL, 
3ID-CFW,602-MAINTCO, 
3ID-CFW,603-DASB, 
3ID-CFW,61-ASMEDBN-MEDCO, 
3ID-CFW,632-MAINTCO, 
3ID-CFW,703-MSB, 
3ID-CFW,89-TKCO-CGO, 
3ID-CFW,92-ENGBN-CBTHVY, 
3ID-CFW,96-TCCO-HET, 
3ID-CFW,CENTCOM-HHC, 
3ID-CFW,DIVARTY-3ID-HHB, 
3ID-CFW,DLAHQ, 
3ID-CFW,ENGBDE-3ID-HHD, 
3ID-CFW,IOC, 
3ID-CFW,JTF-HHC, 
3ID-CFW,NCA, 
3ID-CFW,TRANSCOM, 
