ORG_ID,NOMENCLATURE,UIC,BLANK
103-MIBN,103 MI BN,WH67AA, 
10-ENGBN,10 Eng Bn,WAP7AA, 
10-TCBN-HHC,HHC 10 TC Bn,WCKYAA, 
1-10-FABN,1/10 FA Bn,WARXAA, 
110-QMCO-POLSPLY,110 QM POL Supply Co,WELKAA, 
1-14-CAVSQDN,1/14 Cav Sqdrn (RSTA),WJHJAA, 
1-15-INFBN,1/15 Inf Bn (Mech),WAR0AA, 
119-TCCO-CGO,119 TC Co CGO Transfer,WCP7AA, 
11-ENGBN,11 Eng Bn,WAZYAA, 
1-23-INFBN,1/23 Inf Bn,WARNAA, 
123-SIGBN,123 Signal Bn,WAQMAA, 
126-MEDTM-FSURG,126 MD Tm Fwd Surgical,WBQDAA, 
12-FABTRY,13 FA Btry MLRS,WAQBAA, 
1-30-INFBN,1/30 Inf Bn (Mech),WGK6AA, 
1-37-FABN,1/37 FA Bn,WJFJAA, 
1-3-ADABN,1/3 ADA Bn,WEZMAA, 
1-3-AVNBN,1/3 Avn Bn (AH64),WAQLAA, 
1-41-FABN,1/41 FA Bn,WAQZAA, 
147-MEDLOGBN,"B Co, 147 Med Log Bn",WG43AA, 
157-QMCO-FSVC,157 QM Fld Svc Co,WC4PAA, 
1-64-ARBN,1/64 Tnk Bn,WAZDAA, 
180-TCBN-HHD,180 TC Bn HHD,WEP0AA, 
186-WTRPURDET,186 Water Purification Det,WCW7AA, 
18-ENGCO,18 Eng Co,WE0VAA, 
18-QMPLT,18 QM Perishable Sub Plat,WDNZAA, 
1-9-FABN,1/9FA Bn,WA2SAA, 
1-BDE-3ID-HHC,"HHC, 1 Bde, 3ID",WAQNAA, 
202-WTRPURDET,202 Water Purification Det,WFB6AA, 
203-FSB,203 Fwd Spt Bn (2x1),WJD2AA, 
209-MICO,209 MI Co,WBWFAA, 
21-MED-CSHOSP,21 MD Combat Support HSP,WBH7AA, 
226-QMCO-SPLY,226 QM Supply Co,WDMJAA, 
2-3-AVNBN,2/3 Avn Bn Gen Spt,WDX9AA, 
2-3-INFBN,2/3 Inf Bn,WJHHAA, 
24-CSB-HHD,HHD 24 Corps Spt Bn,WB0VAA, 
24-ODCO,"24 OD Co, Ammo DS PLS",WDHJAA, 
24-SPTGP-HHC,HHC 24 Spt Group,WJEMAA, 
259-QMCO-FSVC,259 QM Fld Svc Co,WEU6AA, 
2-69-ARBN,2/69 Ar Bn,WGM6AA, 
26-FSB,26 Fwd Spt Bn (2x1),WJAUAA, 
2-7-INFBN,2/7 Inf Bn (Mech),WAQGAA, 
296-SPTBN,296 Spt Bn,WE4QAA, 
2-BDE-3ID-HHC,"HHC, 2 Bde, 3ID",WAQPAA, 
3-15-INFBN,3/15 Inf Bn (Mech),WAQEAA, 
317-ENGBN,317 Eng Bn,WA0GAA, 
324-SCBN-TRITAC,324 SC Bn Area EAC TRITAC,WV43AA, 
334-SIGCO,334 Signal Co,WG02AA, 
343-QMCO-SPLY,343 QM Supply Co,WSS7AA, 
3-69-ARBN,3/69 Tnk Bn,WAQ1AA, 
36-MEDEVACBN-GAMBCO,"Gnd Amb Co,36 Med Evac Bn",WBHGAA, 
3-7-CAVSQDN,3/7 Cav Sqdrn,WAP9AA, 
3-7-INFBN,3/17 Inf Bn (Mech),WAQYAA, 
396-TCCO-PLS,396 TC Co PLS,WCM6AA, 
39-FABTRY,39 FA Btry TgtAcq,WE93AA, 
3-AVNBDE-HHC,HHC 3 Avn Bde,WEPQAA, 
3-BDE-2ID-HHC,"HHC, 3rd Bde, 2ID",WAH9AA, 
3-BDE-3ID-HHC,"HHC, 3 Bde, 3ID",WAR4AA, 
3-DISCOM-HHC,HHC 3 DISCOM,WAQSAA, 
3-FSB,3 Fwd Spt Bn (1x2),WJATAA, 
3ID-HHC,"HHC, 3ID",WAQJAA, 
3-MPCO,3 MP Co,WAQKAA, 
406-TCDET-TPT,406 TC Det (Transfer PT),WHEKAA, 
416-TKCO-POL,416 MDM Tk Co (POL),WEZ4AA, 
418-TKCO-POL,418 MDM Tk Co (POL),WEZ5AA, 
4-64-ARBN,4/64 Tnk Bn,WFL9AA, 
512-QMCO-WTRSPLY,512 QM Water Supply Co,WFS4AA, 
5-20-INFBN,5/20 Inf Bn,WAJKAA, 
52-INF-CCO,"C Co, 52 Inf (Anti armor)",WFTQAA, 
553-CSB-HHD,HHD 553 Corps Spt Bn,WEU5AA, 
571-MEDDET-AMBL,571 Med Det (Ambl)(UH-1),WEAEAA, 
602-MAINTCO,602 Maint Co Non Div,WE7NAA, 
603-DASB,603 AVN Spt Bn,WJFKAA, 
61-ASMEDBN-MEDCO,"Med Co, 61 Area Spt Med Bn",WBHNAA, 
632-MAINTCO,632 Maint Co Non Div,WB40AA, 
703-MSB,703 Main Spt Bn,WDKAAA, 
89-TKCO-CGO,89 MDM Tk Co(CGO),WCN6AA, 
92-ENGBN-CBTHVY,92 Engineering BN - Combat Heavy,WBAHAA, 
96-TCCO-HET,96 TC Co (Het),WCMAAA, 
CENTCOM-HHC,US Central Command,, 
DIVARTY-3ID-HHB,"HHB, 3 ID, DIVARTY",WAQRAA, 
DLAHQ,DLA Headquarters,, 
ENGBDE-3ID-HHD,"HHD, 3 ID, ENGBDE",WJD1AA, 
IOC,Industrial Operations Command,, 
JTF-HHC,Joint Task Force Headquarters,, 
NCA,National Command Authority,, 
TRANSCOM,US Transportation Command,, 
