CFW_ID,ORG_ID,PG_ATTRIBUTE_LIB_ID,ATTRIBUTE_VALUE,ATTRIBUTE_ORDER,START_DATE,END_DATE,BLANK
3ID-CFW,103-MIBN,ClusterPG|ClusterIdentifier,103-MIBN,0,1-Jan-00,, 
3ID-CFW,103-MIBN,ItemIdentificationPG|AlternateItemIdentification,UIC/WH67AA,0,1-Jan-00,, 
3ID-CFW,103-MIBN,ItemIdentificationPG|ItemIdentification,103-MIBN,0,1-Jan-00,, 
3ID-CFW,103-MIBN,ItemIdentificationPG|Nomenclature,103 MI BN,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|Echelon,5,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|Hierarchy2525,1.X.3.1.2.2,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|HomeLocation,GeolocCode=HKUZ,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|IsReserve,FALSE,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|SRC,34395A000100,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|UIC,WH67AA,0,1-Jan-00,, 
3ID-CFW,103-MIBN,MilitaryOrgPG|UTC,P7T77,0,1-Jan-00,, 
3ID-CFW,103-MIBN,OrganizationPG|Agency,FORSCOM,0,1-Jan-00,, 
3ID-CFW,103-MIBN,OrganizationPG|Service,Army,0,1-Jan-00,, 
3ID-CFW,103-MIBN,TypeIdentificationPG|AlternateTypeIdentification,SRC/34395A000100,0,1-Jan-00,, 
3ID-CFW,103-MIBN,TypeIdentificationPG|Nomenclature,103 MI BN,0,1-Jan-00,, 
3ID-CFW,103-MIBN,TypeIdentificationPG|TypeIdentification,UTC/P7T77,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,ClusterPG|ClusterIdentifier,10-ENGBN,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,ItemIdentificationPG|AlternateItemIdentification,UIC/WAP7AA,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,ItemIdentificationPG|ItemIdentification,10-ENGBN,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,ItemIdentificationPG|Nomenclature,10 Eng Bn,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|Echelon,5,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|Hierarchy2525,1.X.3.1.1.6.1.6,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|HomeLocation,GeolocCode=HKUZ,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|IsReserve,FALSE,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|SRC,05335L0001E0,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|UIC,WAP7AA,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,MilitaryOrgPG|UTC,4YD77,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,OrganizationPG|Agency,FORSCOM,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,OrganizationPG|Roles,Combat,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,OrganizationPG|Service,Army,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,TypeIdentificationPG|AlternateTypeIdentification,SRC/05335L0001E0,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,TypeIdentificationPG|Nomenclature,10 Eng Bn,0,1-Jan-00,, 
3ID-CFW,10-ENGBN,TypeIdentificationPG|TypeIdentification,UTC/4YD77,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,ClusterPG|ClusterIdentifier,10-TCBN-HHC,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,ItemIdentificationPG|AlternateItemIdentification,UIC/WCKYAA,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,ItemIdentificationPG|ItemIdentification,10-TCBN-HHC,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,ItemIdentificationPG|Nomenclature,HHC 10 TC Bn,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|Echelon,5,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|Hierarchy2525,1.X.3.1.3.4.1,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|HomeLocation,GeolocCode=HERT,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|IsReserve,FALSE,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|SRC,55816L000100,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|UIC,WCKYAA,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,MilitaryOrgPG|UTC,UQH33,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,OrganizationPG|Agency,FORSCOM,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,OrganizationPG|Service,Army,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,TypeIdentificationPG|AlternateTypeIdentification,SRC/55816L000100,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,TypeIdentificationPG|Nomenclature,HHC 10 TC Bn,0,1-Jan-00,, 
3ID-CFW,10-TCBN-HHC,TypeIdentificationPG|TypeIdentification,UTC/UQH33,0,1-Jan-00,, 
3ID-CFW,1-10-FABN,ClusterPG|ClusterIdentifier,1-10-FABN,0,1-Jan-00,, 
3ID-CFW,1-10-FABN,ItemIdentificationPG|AlternateItemIdentification,UIC/WARXAA,0,1-Jan-00,, 
