ROLE,THREAD_ID,DESCRIPTION,Blank
AmmunitionProvider,BASE,, 
AmmunitionTransportProvider,BASE,, 
Combat,BASE,, 
ConstructionProvider,BASE,, 
ConstructionSupplyProvider,BASE,, 
FuelSupplyProvider,BASE,, 
FuelTransportProvider,BASE,, 
GroundTransportProvider,BASE,, 
HETTransportationProvider,BASE,, 
MaterielTransportProvider,BASE,, 
PackagedPOLSupplyProvider,BASE,, 
SparePartsProvider,BASE,, 
SubsistenceSupplyProvider,BASE,, 
Superior,BASE,, 
StrategicTransportationProvider,BASE,, 
SeaTransportationProvider,BASE,, 
AirTransportationProvider,BASE,, 
ShipPackingTransportationProvider,BASE,, 
OrganicAirTransportationProvider,BASE,, 
CONUSGroundTransportationProvider,BASE,, 
TheaterStrategicTransportationProvider,BASE,, 
