CFW_ID,ALPLOC_CODE,LOCATION_NAME,LATITUDE,LONGITUDE,INSTALLATION_TYPE_CODE,BLANK
1AD-CFW,ADI-KEYIH-ER,Adi Keyih,14.8800,39.3200,CTY, 
1AD-CFW,ADI-KWALA-ER,Adi Kwala,14.6800,38.8300,CTY, 
1AD-CFW,ADI-UGRI-ER,Adi Ugri,14.9200,38.7600,CTY, 
1AD-CFW,AKORDAT-ER,Akordat,15.5300,37.8800,CTY, 
1AD-CFW,BARENTU-ER,Barentu,15.1500,37.6000,CTY, 
1AD-CFW,BELA-PAK,Bela Pakistan,25.9000,67.0000,CTY, 
1AD-CFW,DEKEMHARE-ER,Dekemhare,15.0800,39.0000,CTY, 
1AD-CFW,HAYKOTA-ER,Haykota,15.2000,37.1200,CTY, 
1AD-CFW,JCT-1-1-DASB,Junction 1-1-DASB,14.6500,37.7300,ADM, 
1AD-CFW,JCT-1-1-FSB,Junction 1-1-FSB,15.2000,37.1200,ADM, 
1AD-CFW,JCT-1-2-FSB,Junction 1-2-FSB,14.8500,37.4200,ADM, 
1AD-CFW,JCT-1-3-FSB,Junction 1-3-FSB,14.8800,37.9600,ADM, 
1AD-CFW,JCT-1-MSB,Junction 1-MSB,15.1500,37.6000,ADM, 
1AD-CFW,JCT-2-1-DASB,Junction 2-1-DASB,14.5200,38.6000,ADM, 
1AD-CFW,JCT-2-1-FSB,Junction 2-1-FSB,14.9700,38.4800,ADM, 
1AD-CFW,JCT-2-2-FSB,Junction 2-2-FSB,14.7200,38.2500,ADM, 
1AD-CFW,JCT-2-3-FSB,Junction 2-3-FSB,14.6800,38.8300,ADM, 
1AD-CFW,JCT-2-MSB,Junction 2-MSB,14.9700,38.4800,ADM, 
1AD-CFW,JCT-3-1-DASB,Junction 3-1-DASB,14.6500,39.5100,ADM, 
1AD-CFW,JCT-3-1-FSB,Junction 3-1-FSB,14.9200,38.7600,ADM, 
1AD-CFW,JCT-3-2-FSB,Junction 3-2-FSB,14.7800,39.0500,ADM, 
1AD-CFW,JCT-3-3-FSB,Junction 3-3-FSB,14.5500,39.3100,ADM, 
1AD-CFW,JCT-3-MSB,Junction 3-MSB,14.8800,39.3200,ADM, 
1AD-CFW,JCT-A,Junction Point A,15.0000,37.8000,ADM, 
1AD-CFW,JCT-B,Junction Point B,15.1500,38.8500,ADM, 
1AD-CFW,KEREN,Keren,15.7800,38.4500,CTY, 
1AD-CFW,LOC-3ID-HQ,LOC-3ID-HQ,40.4545,37.2111,ADM, 
1AD-CFW,LOC-3ID-IBCT,LOC-3ID-IBCT,40.1879,37.0249,ADM, 
1AD-CFW,LOC-3ID-1BDE,LOC-3ID-1BDE,40.3333,37.0808,ADM, 
1AD-CFW,LOC-3ID-2BDE,LOC-3ID-2BDE,40.4787,37.1366,ADM, 
1AD-CFW,LOC-3ID-3BDE,LOC-3ID-3BDE,40.6241,37.1925,ADM, 
1AD-CFW,LOC-3ID-AVNBDE,LOC-3ID-AVNBDE,40.4545,37.2111,ADM, 
1AD-CFW,LOC-3ID-FABDE,LOC-3ID-FABDE,40.4545,37.2111,ADM, 
1AD-CFW,LOC-3ID-MSB,LOC-3ID-MSB,40.4545,37.2111,ADM, 
1AD-CFW,LOC-24-CSB,LOC-24-CSB,40.2121,37.4160,ADM, 
1AD-CFW,DIYARBAKIR,DIYARBAKIR,40.2333,37.9167,CTY, 
1AD-CFW,SIVAREK,SIVAREK,39.3333,37.8333,CTY, 
1AD-CFW,HILVAN,HILVAN,38.9167,37.6000,CTY, 
1AD-CFW,SANLIURFA,SANLIURFA,38.7500,37.1667,CTY, 
1AD-CFW,KONUKCU,KONUKCU,39.5333,37.4000,CTY, 
1AD-CFW,VIRANSEHIR,VIRANSEHIR,39.7667,37.2500,CTY, 
1AD-CFW,RUINS,RUINS,39.9167,37.1167,CTY, 
,,,,,, 
,,,,,, 
,,,,,, 
