CFW_ID,ORG_ID,SUPERIOR_ORG_ID,BLANK,ORIG_ORDER,ORG_ORDER
1AD-CFW,102-POL-SUPPLYCO,485-CSB, ,62,1
1AD-CFW,106-TCBN,16-CSG, ,68,2
1AD-CFW,109-MDM-TRKCO,28-TCBN, ,135,3
1AD-CFW,110-POL-SUPPLYCO,6-TCBN, ,138,4
1AD-CFW,1-13-ARBN,3-BDE-1-AD, ,40,5
1AD-CFW,11-AVN-RGT,5-CORPS-REAR, ,98,6
1AD-CFW,1-1-CAVSQDN,AVNBDE-1-AD, ,52,7
1AD-CFW,123-MSB,DISCOM-1-AD, ,50,8
1AD-CFW,125-FSB,3-BDE-1-AD, ,45,9
1AD-CFW,125-ORDBN,7-CSG, ,94,10
1AD-CFW,127-DASB,AVNBDE-1-AD, ,55,11
1AD-CFW,1-27-FABN,41-FABDE, ,112,12
1AD-CFW,12-AVNBDE,5-CORPS-REAR, ,99,13
1AD-CFW,130-ENGBDE,5-CORPS-REAR, ,100,14
1AD-CFW,1-35-ARBN,2-BDE-1-AD, ,35,15
1AD-CFW,1-36-INFBN,1-BDE-1-AD, ,27,16
1AD-CFW,1-37-ARBN,1-BDE-1-AD, ,28,17
1AD-CFW,1-41-INFBN,3-BDE-1-AD, ,41,18
1AD-CFW,141-SIGBN,1-AD-DIV, ,21,19
1AD-CFW,1-4-ADABN,1-AD-DIV, ,22,20
1AD-CFW,1-501-AVNBN,AVNBDE-1-AD, ,53,21
1AD-CFW,15-PLS-TRKCO,106-TCBN, ,71,22
1AD-CFW,16-CSG,3-SUPCOM-HQ, ,56,23
1AD-CFW,16-ENGBN,1-BDE-1-AD, ,29,24
1AD-CFW,1-6-INFBN,2-BDE-1-AD, ,33,25
1AD-CFW,181-TCBN,7-CSG, ,87,26
1AD-CFW,18-MAINTBN,16-CSG, ,63,27
1AD-CFW,18-MPBDE,5-CORPS-REAR, ,105,28
1AD-CFW,18-PERISH-SUBPLT,51-MAINTBN, ,125,29
1AD-CFW,191-ORDBN,29-SPTGP, ,126,30
1AD-CFW,1-94-FABN,DIVARTY-1-AD, ,48,31
