CFW_ID,ROLE,ORG_ID,ORG_GROUP_ID,START_DATE,END_DATE,RELATION_ORDER,BLANK
1AD-CFW,MaterielTransportProvider,106-TCBN,102-POL-SUPPLYCO,1-Jan-05,,3, 
1AD-CFW,FuelTransportProvider,106-TCBN,102-POL-SUPPLYCO,1-Jan-05,,3, 
1AD-CFW,FuelSupplyProvider,110-POL-SUPPLYCO,102-POL-SUPPLYCO,1-Jan-05,,2, 
1AD-CFW,PackagedPOLSupplyProvider,110-POL-SUPPLYCO,102-POL-SUPPLYCO,1-Jan-05,,2, 
1AD-CFW,MaterielTransportProvider,28-TCBN,110-POL-SUPPLYCO,1-Jan-05,,3, 
1AD-CFW,FuelTransportProvider,6-TCBN,110-POL-SUPPLYCO,1-Jan-05,,3, 
1AD-CFW,FuelSupplyProvider,HNS,110-POL-SUPPLYCO,1-Jan-05,,1, 
1AD-CFW,PackagedPOLSupplyProvider,HNS,110-POL-SUPPLYCO,1-Jan-05,,1, 
1AD-CFW,FuelSupplyProvider,102-POL-SUPPLYCO,123-MSB,1-Jan-05,,3, 
1AD-CFW,PackagedPOLSupplyProvider,102-POL-SUPPLYCO,123-MSB,1-Jan-05,,3, 
1AD-CFW,SubsistenceSupplyProvider,227-SUPPLYCO,123-MSB,1-Jan-05,,3, 
1AD-CFW,SparePartsProvider,565-RPRPTCO,123-MSB,1-Jan-05,,3, 
1AD-CFW,AmmunitionProvider,592-ORDCO,123-MSB,1-Jan-05,,3, 
1AD-CFW,AmmunitionProvider,123-MSB,125-FSB,1-Jan-05,,4, 
1AD-CFW,FuelSupplyProvider,123-MSB,125-FSB,1-Jan-05,,4, 
1AD-CFW,PackagedPOLSupplyProvider,123-MSB,125-FSB,1-Jan-05,,4, 
1AD-CFW,SparePartsProvider,123-MSB,125-FSB,1-Jan-05,,4, 
1AD-CFW,SubsistenceSupplyProvider,123-MSB,125-FSB,1-Jan-05,,4, 
1AD-CFW,AmmunitionProvider,191-ORDBN,125-ORDBN,1-Jan-05,,2, 
1AD-CFW,AmmunitionProvider,123-MSB,127-DASB,1-Jan-05,,4, 
1AD-CFW,FuelSupplyProvider,123-MSB,127-DASB,1-Jan-05,,4, 
1AD-CFW,PackagedPOLSupplyProvider,123-MSB,127-DASB,1-Jan-05,,4, 
1AD-CFW,SparePartsProvider,123-MSB,127-DASB,1-Jan-05,,4, 
1AD-CFW,SubsistenceSupplyProvider,123-MSB,127-DASB,1-Jan-05,,4, 
1AD-CFW,StrategicTransportationProvider,3-SUPCOM-HQ,16-CSG-OG,1-Jan-05,,5, 
1AD-CFW,MaterielTransportProvider,28-TCBN,18-PERISH-SUBPLT,1-Jan-05,,3, 
1AD-CFW,AmmunitionProvider,AWR-2,191-ORDBN,1-Jan-05,15-Sep-05,1, 
1AD-CFW,AmmunitionProvider,OSC,191-ORDBN,15-Sep-05,,1, 
1AD-CFW,ConstructionProvider,52-ENGBN-CBTHVY,1-AD,1-Jan-05,,3, 
TRANSCOM-STUB-CFW,StrategicTransportationProvider,TRANSCOM,1-AD,1-Jan-05,,4, 
TRANSCOM-CFW,StrategicTransportationProvider,TRANSCOM,1-AD,1-Jan-05,,4, 
1AD-CFW,StrategicTransportationProvider,1-AD,1-AD-DIV-OG,1-Jan-05,,5, 
