CFW_ID,PLUGIN_GROUP_ID,PLUGIN_CLASS,PLUGIN_CLASS_ORDER,BLANK
1AD-CFW,AmmoPacking,org.cougaar.glm.packer.AmmoPacker,0, 
1AD-CFW,AmmoPacking,org.cougaar.mlm.plugin.generic.GenericTablePlugIn,1, 
1AD-CFW,AntsAssets,mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1, 
1AD-CFW,AntsAssets,mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,2, 
1AD-CFW,BlackJack-Sourcing,org.cougaar.mlm.plugin.generic.GenericTablePlugIn,0, 
1AD-CFW,ConstructionExpander,org.cougaar.mlm.construction.DTConstructionExpanderPlugIn,0, 
1AD-CFW,Demand,mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,0, 
1AD-CFW,DIVPolicy,org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,0, 
1AD-CFW,FeedingPolicy,org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,1, 
1AD-CFW,GenericTableAllocator,org.cougaar.mlm.plugin.generic.GenericTablePlugIn,1, 
TRANSCOM-CFW,GLMTrans_AssetInstance,org.cougaar.lib.plugin.UTILLdmXMLPlugIn,0, 
TRANSCOM-CFW,GLMTrans_GlobalAir,org.cougaar.glm.trans.plugins.SequentialGlobalAirPlugIn,0, 
TRANSCOM-CFW,GLMTrans_GlobalSea,org.cougaar.glm.trans.plugins.SequentialGlobalSeaPlugIn,0, 
TRANSCOM-CFW,GLMTrans_GroundTransport,org.cougaar.glm.trans.plugins.GroundTransportAllocatorPlugIn,2, 
TRANSCOM-CFW,GLMTrans_GroundTransport,org.cougaar.glm.trans.plugins.GroundVishnuPlugIn,1, 
TRANSCOM-CFW,GLMTrans_GroundTransport,org.cougaar.glm.trans.plugins.TransportExpanderPlugIn,0, 
TRANSCOM-CFW,GLMTrans_PlanePacker,org.cougaar.glm.trans.plugins.GenericVishnuPlugIn,1, 
TRANSCOM-CFW,GLMTrans_PlanePacker,org.cougaar.glm.trans.plugins.TransportAllocatorPlugIn,2, 
TRANSCOM-CFW,GLMTrans_PlanePacker,org.cougaar.glm.trans.plugins.TransportExpanderPlugIn,0, 
TRANSCOM-CFW,GLMTrans_ShipPacker,org.cougaar.glm.trans.plugins.SeaVishnuPlugIn,1, 
