ORG_ID,ORG_NAME,UIC,BLANK,ORIG_ORDER,IN_SMALL_1AD,IN_TINY_1AD,,SUPERIOR_ORG_ID,1,2,3,4,5
NCA,NCA,, ,1,1,1,,,NCA,,,,
FORSCOM,FORSCOM,,,2,1,,,NCA,FORSCOM,,,,
DLAHQ,DLAHQ,, ,3,1,1,,NCA,DLAHQ,,,,
OSC,OSC,, ,4,1,1,,NCA,OSC,,,,
HNS,HNS,,,5,1,1,,NCA,HNS,,,,
USEUCOM,USEUCOM,, ,6,1,1,,NCA,USEUCOM,,,,
USAEUR,USAEUR,, ,7,1,1,,USEUCOM,USAEUR,,,,
NATO,NATO,, ,8,,,,NCA,NATO,,,,
JSRCMDSE,JSRCMDSE,, ,9,,,,NATO,JSRCMDSE,,,,
TRANSCOM,TRANSCOM,, ,10,1,1,,NCA,TRANSCOM,,,,
GlobalSea,GlobalSea,,,11,1,1,,TRANSCOM,,GlobalSea,,,
GlobalAir,GlobalAir,,,12,1,1,,TRANSCOM,,GlobalAir,,,
ShipPacker,ShipPacker,,,13,1,1,,GlobalSea,,ShipPacker,,,
PlanePacker,PlanePacker,,,14,1,1,,GlobalAir,,PlanePacker,,,
CONUSGround,CONUSGround,,,15,1,1,,GlobalSea,,CONUSGround,,,
TheaterGround,TheaterGround,,,16,1,1,,GlobalSea,,TheaterGround,,
5-CORPS,5-CORPS,WAT6AA, ,17,1,1,,USAEUR,5-CORPS,,,
1-AD,1-AD,WAPBAA, ,18,1,1,,5-CORPS,,1-AD,,
1-AD-DIV,1-AD-DIV,, ,19,,,,1-AD,,,1-AD-DIV,
501-MPCO,501-MPCO,WAPCAA, ,20,,,,1-AD-DIV,,,,501-MPCO
141-SIGBN,141-SIGBN,WAPEAA, ,21,,,,1-AD-DIV,,,,141-SIGBN
1-4-ADABN,1-4-ADABN,WGM8AA, ,22,,,,1-AD-DIV,,,,1-4-ADABN
501-MIBN-CEWI,501-MIBN-CEWI,WH6YAA, ,23,,,,1-AD-DIV,,,,501-MIBN-CEWI
69-CHEMCO,69-CHEMCO,WA8RAA, ,24,,,,1-AD-DIV,,,,69-CHEMCO
1-BDE-1-AD,1-BDE-1-AD,WAELAA, ,25,,,,1-AD,,,1-BDE-1-AD,
2-37-ARBN,2-37-ARBN,WAD9AA, ,26,,,,1-BDE-1-AD,,,,2-37-ARBN
1-36-INFBN,1-36-INFBN,WAE3AA, ,27,,,,1-BDE-1-AD,,,,1-36-INFBN
1-37-ARBN,1-37-ARBN,WH54AA, ,28,,,,1-BDE-1-AD,,,,1-37-ARBN
16-ENGBN,16-ENGBN,WAEUAA, ,29,,,,1-BDE-1-AD,,,,16-ENGBN
2-3-FABN,2-3-FABN,WAEQAA, ,30,,,,1-BDE-1-AD,,,,2-3-FABN
501-FSB,501-FSB,WH96AA, ,31,,,,1-BDE-1-AD,,,,501-FSB
2-BDE-1-AD,2-BDE-1-AD,WAPGAA, ,32,1,1,,1-AD,,,2-BDE-1-AD,
1-6-INFBN,1-6-INFBN,WAPSAA, ,33,1,1,,2-BDE-1-AD,,,,1-6-INFBN
2-6-INFBN,2-6-INFBN,WAPWAA, ,34,,,,2-BDE-1-AD,,,,2-6-INFBN
1-35-ARBN,1-35-ARBN,WAPYAA, ,35,1,1,,2-BDE-1-AD,,,,1-35-ARBN
40-ENGBN,40-ENGBN,WDKXAA, ,36,,,,2-BDE-1-AD,,,,40-ENGBN
4-27-FABN,4-27-FABN,WH28AA, ,37,,,,2-BDE-1-AD,,,,4-27-FABN
47-FSB,47-FSB,WH98AA, ,38,1,1,,2-BDE-1-AD,,,,47-FSB
3-BDE-1-AD,3-BDE-1-AD,WAHEAA, ,39,,,,1-AD,,,3-BDE-1-AD,
1-13-ARBN,1-13-ARBN,WAFZAA, ,40,,,,3-BDE-1-AD,,,,1-13-ARBN
1-41-INFBN,1-41-INFBN,WAHSAA, ,41,,,,3-BDE-1-AD,,,,1-41-INFBN
2-70-ARBN,2-70-ARBN,WAZBAA, ,42,,,,3-BDE-1-AD,,,,2-70-ARBN
70-ENGBN,70-ENGBN,WAZ8AA, ,43,,,,3-BDE-1-AD,,,,70-ENGBN
4-1-FABN,4-1-FABN,WH9UAA, ,44,,,,3-BDE-1-AD,,,,4-1-FABN
125-FSB,125-FSB,WJA0AA, ,45,,,,3-BDE-1-AD,,,,125-FSB
DIVARTY-1-AD,DIVARTY-1-AD,WAPKAA, ,46,,,,1-AD,,,DIVARTY-1-AD,
25-FABTRY-TGTACQ,25-FABTRY-TGTACQ,WH5QAA, ,47,,,,DIVARTY-1-AD,,,,25-FABTRY-TGTACQ
1-94-FABN,1-94-FABN,WAF7AA, ,48,,,,DIVARTY-1-AD,,,,1-94-FABN,
DISCOM-1-AD,DISCOM-1-AD,WAPLAA, ,49,1,1,,1-AD,,,DISCOM-1-AD,,
123-MSB,123-MSB,WDJ0AA, ,50,1,1,,DISCOM-1-AD,,,,123-MSB,
AVNBDE-1-AD,AVNBDE-1-AD,WDJUAA, ,51,,,,1-AD,,,AVNBDE-1-AD,,
1-1-CAVSQDN,1-1-CAVSQDN,WAETAA, ,52,,,,AVNBDE-1-AD,,,,1-1-CAVSQDN,
1-501-AVNBN,1-501-AVNBN,WAFDAA, ,53,,,,AVNBDE-1-AD,,,,1-501-AVNBN,
2-501-AVNBN,2-501-AVNBN,WDUVAA, ,54,,,,AVNBDE-1-AD,,,,2-501-AVNBN,
127-DASB,127-DASB,WJEQAA, ,55,,,,AVNBDE-1-AD,,,,127-DASB,
