ORG_GROUP_ID,DESCRIPTION,BLANK,ORIG_ORDER,ORG_ORDER
102-POL-SUPPLYCO,102-POL-SUPPLYCO Solo Org Group, ,62,1
106-TCBN,106-TCBN Solo Org Group, ,68,2
109-MDM-TRKCO,109-MDM-TRKCO Solo Org Group, ,135,3
110-POL-SUPPLYCO,110-POL-SUPPLYCO Solo Org Group, ,138,4
1-13-ARBN,1-13-ARBN Solo Org Group, ,40,5
11-AVN-RGT,11-AVN-RGT Solo Org Group, ,98,6
1-1-CAVSQDN,1-1-CAVSQDN Solo Org Group, ,52,7
123-MSB,123-MSB Solo Org Group, ,50,8
125-FSB,125-FSB Solo Org Group, ,45,9
125-ORDBN,125-ORDBN Solo Org Group, ,94,10
127-DASB,127-DASB Solo Org Group, ,55,11
1-27-FABN,1-27-FABN Solo Org Group, ,112,12
12-AVNBDE,12-AVNBDE Solo Org Group, ,99,13
130-ENGBDE,130-ENGBDE Solo Org Group, ,100,14
1-35-ARBN,1-35-ARBN Solo Org Group, ,35,15
1-36-INFBN,1-36-INFBN Solo Org Group, ,27,16
1-37-ARBN,1-37-ARBN Solo Org Group, ,28,17
1-41-INFBN,1-41-INFBN Solo Org Group, ,41,18
141-SIGBN,141-SIGBN Solo Org Group, ,21,19
1-4-ADABN,1-4-ADABN Solo Org Group, ,22,20
1-501-AVNBN,1-501-AVNBN Solo Org Group, ,53,21
15-PLS-TRKCO,15-PLS-TRKCO Solo Org Group, ,71,22
16-CSG,16-CSG Solo Org Group, ,56,23
16-ENGBN,16-ENGBN Solo Org Group, ,29,24
1-6-INFBN,1-6-INFBN Solo Org Group, ,33,25
181-TCBN,181-TCBN Solo Org Group, ,87,26
18-MAINTBN,18-MAINTBN Solo Org Group, ,63,27
18-MPBDE,18-MPBDE Solo Org Group, ,105,28
18-PERISH-SUBPLT,18-PERISH-SUBPLT Solo Org Group, ,125,29
191-ORDBN,191-ORDBN Solo Org Group, ,126,30
1-94-FABN,1-94-FABN Solo Org Group, ,48,31
19-MMC,19-MMC Solo Org Group, ,76,32
1-AD,1-AD Solo Org Group, ,18,33
1-AD-DIV,1-AD-DIV Solo Org Group, ,19,34
1-BDE-1-AD,1-BDE-1-AD Solo Org Group, ,25,35
200-MMC,200-MMC Solo Org Group, ,116,36
205-MIBDE,205-MIBDE Solo Org Group, ,106,37
208-SCCO,208-SCCO Solo Org Group, ,74,38
21-TSC-HQ,21-TSC-HQ Solo Org Group, ,114,39
226-MAINTCO,226-MAINTCO Solo Org Group, ,65,40
227-SUPPLYCO,227-SUPPLYCO Solo Org Group, ,67,41
22-SIGBDE,22-SIGBDE Solo Org Group, ,108,42
2-37-ARBN,2-37-ARBN Solo Org Group, ,26,43
238-POL-TRKCO,238-POL-TRKCO Solo Org Group, ,72,44
2-3-FABN,2-3-FABN Solo Org Group, ,30,45
23-ORDCO,23-ORDCO Solo Org Group, ,127,46
240-SSCO,240-SSCO Solo Org Group, ,79,47
244-ENGBN-CBTHVY,244-ENGBN-CBTHVY Solo Org Group, ,102,48
2-4-FABN-MLRS,2-4-FABN-MLRS Solo Org Group, ,111,49
24-ORDCO,24-ORDCO Solo Org Group, ,130,50
2-501-AVNBN,2-501-AVNBN Solo Org Group, ,54,51
25-FABTRY-TGTACQ,25-FABTRY-TGTACQ Solo Org Group, ,47,52
263-FLDSVC-CO,263-FLDSVC-CO Solo Org Group, ,66,53
2-6-INFBN,2-6-INFBN Solo Org Group, ,34,54
26-SSCO,26-SSCO Solo Org Group, ,59,55
2-70-ARBN,2-70-ARBN Solo Org Group, ,42,56
27-TCBN-MVTCTRL,27-TCBN-MVTCTRL Solo Org Group, ,75,57
286-ADA-SCCO,286-ADA-SCCO Solo Org Group, ,104,58
28-TCBN,28-TCBN Solo Org Group, ,132,59
29-SPTGP,29-SPTGP Solo Org Group, ,119,60
2-BDE-1-AD,2-BDE-1-AD Solo Org Group, ,32,61
30-MEDBDE,30-MEDBDE Solo Org Group, ,107,62
3-13-FABN-155,3-13-FABN-155 Solo Org Group, ,113,63
316-POL-SUPPLYBN,316-POL-SUPPLYBN Solo Org Group, ,91,64
317-MAINTCO,317-MAINTCO Solo Org Group, ,80,65
343-SUPPLYCO,343-SUPPLYCO Solo Org Group, ,124,66
372-CGO-TRANSCO,372-CGO-TRANSCO Solo Org Group, ,70,67
377-HVY-TRKCO,377-HVY-TRKCO Solo Org Group, ,88,68
37-TRANSGP,37-TRANSGP Solo Org Group, ,131,69
3-BDE-1-AD,3-BDE-1-AD Solo Org Group, ,39,70
3-SUPCOM-HQ,3-SUPCOM-HQ Solo Org Group, ,73,71
40-ENGBN,40-ENGBN Solo Org Group, ,36,72
416-POL-TRKCO,416-POL-TRKCO Solo Org Group, ,137,73
41-FABDE,41-FABDE Solo Org Group, ,110,74
4-1-FABN,4-1-FABN Solo Org Group, ,44,75
41-POL-TRKCO,41-POL-TRKCO Solo Org Group, ,89,76
4-27-FABN,4-27-FABN Solo Org Group, ,37,77
452-ORDCO,452-ORDCO Solo Org Group, ,95,78
47-FSB,47-FSB Solo Org Group, ,38,79
485-CSB,485-CSB Solo Org Group, ,57,80
501-FSB,501-FSB Solo Org Group, ,31,81
501-MIBN-CEWI,501-MIBN-CEWI Solo Org Group, ,23,82
501-MPCO,501-MPCO Solo Org Group, ,20,83
512-MAINTCO,512-MAINTCO Solo Org Group, ,121,84
515-POL-TRKCO,515-POL-TRKCO Solo Org Group, ,93,85
51-MAINTBN,51-MAINTBN Solo Org Group, ,120,86
51-MDM-TRKCO,51-MDM-TRKCO Solo Org Group, ,90,87
529-ORDCO,529-ORDCO Solo Org Group, ,96,88
52-ENGBN-CBTHVY,52-ENGBN-CBTHVY Solo Org Group, ,101,89
