PLUGIN_GROUP_ID,PLUGIN_GROUP_ORDER,DESCRIPTION,BLANK
DIVPolicy,0,, 
NCAPolicy,5,, 
PrototypeProvider,10,, 
PartsAssets,15,, 
SubsistenceAssets,20,, 
XMLAssetPrototype,25,, 
AntsAssets,30,, 
PrepoAssets,35,, 
Org,40,, 
GetOPlan,45,, 
GLS,50,, 
GLSInit,55,, 
StrategicTransport,60,, 
GenericTableAllocator,65,, 
UniversalAllocator,70,,
UniversalExpander,75,, 
TheaterConstruction,80,, 
UI,85,, 
Demand,90,, 
SubsistenceDemand,95,, 
InventoryManagement,100,, 
SubsistenceInventoryManagement,105,, 
InventoryPolicy,110,, 
FeedingPolicy,115,,
Sourcing,120,, 
BlackJack-Sourcing,125,, 
DLAHQ,130,, 
ICP,135,, 
PolicyTransfer,140,, 
ConstructionExpander,145,, 
TriggerManager,150,, 
StrategicTransportProvider,155,, 
TheaterTransportProvider,160,, 
TheaterTransportProviderVishnu,165,, 
AmmoPacking,170,, 
LDMSQLAssets,175,, 
GLMTrans_AssetInstance,180,, 
GLMTrans_TRANSCOM,185,, 
GLMTrans_GlobalAir,190,, 
GLMTrans_GlobalSea,195,, 
GLMTrans_GroundTransport,200,, 
GLMTrans_PlanePacker,205,, 
GLMTrans_ShipPacker,210,, 
