ROLE,DESCRIPTION,Blank
AmmunitionProvider,Should change to AmmunitionSupplyProvider, 
AmmunitionTransportProvider,, 
Combat,Medical uses this to control the type of casualties, 
ConstructionProvider,, 
ConstructionSupplyProvider,, 
FuelSupplyProvider,, 
FuelTransportProvider,, 
GroundTransportProvider,, 
HETTransportationProvider,, 
MaterielTransportProvider,, 
PackagedPOLSupplyProvider,, 
SparePartsProvider,, 
SubsistenceSupplyProvider,, 
Superior,, 
StrategicTransportationProvider,TRANSCOM and Others, 
SeaTransportationProvider,GlobalSea, 
AirTransportationProvider,GlobalAir, 
ShipPackingTransportationProvider,ShipPacker, 
OrganicAirTransportationProvider,PlanePacker, 
CONUSGroundTransportationProvider,CONUSGround, 
TheaterStrategicTransportationProvider,TheaterGround, 
