ORG_GROUP_ID,LOCATION_CODE,START_CDAY,END_CDAY,BLANK
16-CSG-OG,KONUKCU,0,45, 
16-CSG-OG,KONUKCU,45,165, 
1-AD,DIYARBAKIR,0,10, 
1-AD,DIYARBAKIR,10,165, 
1-AD-DIV-OG,VIRANSEHIR,0,10, 
1-AD-DIV-OG,VIRANSEHIR,10,165, 
1-BDE-1-AD-OG,RUINS,0,10, 
1-BDE-1-AD-OG,RUINS,10,165, 
21-TSC-OG,DIYARBAKIR,0,75, 
21-TSC-OG,DIYARBAKIR,75,165, 
29-SPTGP-OG,SIVAREK,0,75, 
29-SPTGP-OG,SIVAREK,75,165, 
2-BDE-1-AD-OG,RUINS,0,10, 
2-BDE-1-AD-OG,RUINS,10,165, 
37-TRANSGP-OG,SIVAREK,0,75, 
37-TRANSGP-OG,SIVAREK,75,165, 
3-BDE-1-AD-OG,RUINS,0,14, 
3-BDE-1-AD-OG,RUINS,14,165, 
3-SUPCOM-OG,SIVAREK,0,45, 
3-SUPCOM-OG,SIVAREK,45,165, 
5-CORPS,DIYARBAKIR,0,10, 
5-CORPS,DIYARBAKIR,10,165, 
5-CORPS-ARTY-OG,SANLIURFA,0,60, 
5-CORPS-ARTY-OG,SANLIURFA,60,165, 
5-CORPS-REAR-OG,SANLIURFA,0,30, 
5-CORPS-REAR-OG,SANLIURFA,30,165, 
7-CSG-OG,HILVAN,0,45, 
7-CSG-OG,HILVAN,45,165, 
AVNBDE-1-AD-OG,VIRANSEHIR,0,10, 
AVNBDE-1-AD-OG,VIRANSEHIR,10,165, 
DISCOM-1-AD-OG,VIRANSEHIR,0,10, 
DISCOM-1-AD-OG,VIRANSEHIR,10,165, 
DIVARTY-1-AD-OG,VIRANSEHIR,0,10, 
DIVARTY-1-AD-OG,VIRANSEHIR,10,165, 
