rln,svccode,uic,ulc,utc,unitname,describe,pax,origin,origname,poe,poename,pod,podname,dest,destname,rld,ald,ead,lad,rdd,fdsvcres,nonbaselne,baseline,provorg
7AA,M,,DIV,999BB,II MEF,II MARINE EXPEDITIONARY FORCE,0,,Unknown,RQWP,New River Mcas,,Unknown,,Unknown,,,,,,,,,
AAA,A,,NSL,G99BB,  1ST ARMORED DIVISION,PARENT 1ST AD,0,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,                              C000,7
AAA03,A,,NSL,G99BB, 3RD BDE  1ST AD,PARENT 3RD BDE 1ST AD,0,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,                              C000,7
AAD,A,WAGEFF,NSL,499BB,  1ST CAVALRY DIVISION,PARENT 1ST CAV,0,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,                              C000,7
AAP,A,WAY8FF,NSL,299BB,  3RD ARMORED CAVALRY REGIMENT,PARENT 3RD ACR,0,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,                              C000,7
AAW,A,WNBBFF,NSL,499BB,  4TH INFANTRY DIVISION (MECH),PARENT 4TH ID,0,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,                              C000,7
AHK,A,,NSL,399BB,101ST AB DIV (AIR ASSAULT),PARENT 101ST AA,0,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,                              C000,7
DBBRC,A,WB37AA,CO,HWTTT,507th OD CO,MAINT CO DS PATRIOT,0,,Unknown,,Unknown,,Unknown,MMDN,Kuwait Intl,,,,,,,,                              C000,
DBBTC,A,WAYRAA,CO,6VE66,286th SIG CO,AREA SIG COMPANY ADA  MSE,0,,Unknown,,Unknown,,Unknown,MMDN,Kuwait Intl,,,,,,,,                              C000,
DBBUC,A,WHLJAA,BN,1KC66,43rd ADA BN,ADA BN PATRIOT,0,,Unknown,,Unknown,,Unknown,MMDN,Kuwait Intl,,,,,,,,,7
SAAHC,A,WFTDAA,CO,UY1VV,551st TC TRANS CARGO TRANSFER,(1C) TRANS CARGO TRANSFER CO,0,,Unknown,,Unknown,,Unknown,QBAL,Mersin,,,,,,35728,,                              C000,
SAAKC,A,WFSPAA,CO,UHBNN,368th TC TML SVC,T TML SVC CO  CNTNR BB,0,,Unknown,,Unknown,,Unknown,QBAL,Mersin,,,,,,,,                              C000,
SAALC,A,WG66AA,TM,UZG33,70th TC MOVEMENT CONTROL,(1C) MOVEMENT CONTROL,0,,Unknown,,Unknown,,Unknown,QBAL,Mersin,,,,,,35795,,                              C000,
SAAMC,A,WC8LAA,TM,UMCCC,384th TC MOVEMENT CONTROL,(1C) MOVEMENT CONTROL,0,,Unknown,,Unknown,,Unknown,LQCN,Iskenderun,,,,,,35796,,                              C000,
SAANC,A,WC6DAA,TM,USZVV,408th TC AUTOMATED CARGO DOC,(3T) AUTOMATED CARGO DOC,0,,Unknown,,Unknown,,Unknown,QBAL,Mersin,,,,,,35777,,                              C000,
SAARC,A,WDT6AA,TM,U3H33,622nd TC MOVEMENT CON  AIR TER,(1C) MOVEMENT CON  AIR TERM,0,,Unknown,,Unknown,,Unknown,LQCN,Iskenderun,,,,,,35793,,                              C000,
SABAC,A,WD03AA,TM,U7F77,8th TC DET,COMPANY HEADQUARTERS,0,,Unknown,,Unknown,,Unknown,QBAL,Mersin,,,,,,,,                              C000,
SABBC,A,WDB3AA,TM,UKZVV,492nd TC TML DET,TM DET,0,,Unknown,,Unknown,,Unknown,QBAL,Mersin,,,,,,,,                              C000,
