COMPONENT_ALIB_ID,COMPONENT_NAME,COMPONENT_LIB_ID,COMPONENT_TYPE,CLONE_SET_ID,BLANK
"society|minitestconfig","minitestconfig","society|minitestconfig","society",0.000000000000000000000000000000,
"1BDE","1BDE","1BDE","agent",0.000000000000000000000000000000,
"1BDE|org.cougaar.mlm.plugin.organization.OrgDataPlugin","1BDE|org.cougaar.mlm.plugin.organization.OrgDataPlugin","plugin|org.cougaar.mlm.plugin.organization.OrgDataPlugin","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.mlm.plugin.organization.OrgReportPlugin","1BDE|org.cougaar.mlm.plugin.organization.OrgReportPlugin","plugin|org.cougaar.mlm.plugin.organization.OrgReportPlugin","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.mlm.plugin.organization.GLSMiniAllocatorPlugin","1BDE|org.cougaar.mlm.plugin.organization.GLSMiniAllocatorPlugin","plugin|org.cougaar.mlm.plugin.organization.GLSMiniAllocatorPlugin","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.mlm.plugin.organization.GLSMiniExpanderPlugin","1BDE|org.cougaar.mlm.plugin.organization.GLSMiniExpanderPlugin","plugin|org.cougaar.mlm.plugin.organization.GLSMiniExpanderPlugin","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","1BDE|org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","plugin|org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent","1BDE|org.cougaar.core.servlet.SimpleServletComponent","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.glm.servlet.GLMCompletionServlet","1BDE|org.cougaar.glm.servlet.GLMCompletionServlet","plugin|org.cougaar.glm.servlet.GLMCompletionServlet","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.planning.servlet.HierarchyServlet","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.planning.servlet.HierarchyServlet","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.mlm.servlet.InventoryServletComponent","1BDE|org.cougaar.mlm.servlet.InventoryServletComponent","plugin|org.cougaar.mlm.servlet.InventoryServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.planning.servlet.LoaderServletComponent","1BDE|org.cougaar.planning.servlet.LoaderServletComponent","plugin|org.cougaar.planning.servlet.LoaderServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.AgentInfoServlet","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.AgentInfoServlet","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.CommunityProviderServlet","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.CommunityProviderServlet","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.MetricsServlet","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.MetricsServlet","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.SearchServlet","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.SearchServlet","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
"1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.PlanServlet","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.PlanServlet","plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin",0.000000000000000000000000000000,
