ASSEMBLY_ID,COMPONENT_ALIB_ID,PARENT_COMPONENT_ALIB_ID,PRIORITY,INSERTION_ORDER,BLANK
"CSA-0001","1BDE|org.cougaar.mlm.plugin.organization.OrgDataPlugin","1BDE","COMPONENT",0.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.plugin.organization.OrgReportPlugin","1BDE","COMPONENT",1.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.plugin.organization.GLSAllocatorPlugin","1BDE","COMPONENT",2.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.plugin.organization.GLSExpanderPlugin","1BDE","COMPONENT",3.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","1BDE","COMPONENT",4.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent","1BDE","COMPONENT",5.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.glm.servlet.GLMCompletionServlet","1BDE","COMPONENT",6.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.planning.servlet.HierarchyServlet","1BDE","COMPONENT",7.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.mlm.ui.servlet.DataGathererServlet","1BDE","COMPONENT",8.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.servlet.InventoryServletComponent","1BDE","COMPONENT",9.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.planning.servlet.LoaderServletComponent","1BDE","COMPONENT",10.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.AgentInfoServlet","1BDE","COMPONENT",11.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.CommunityProviderServlet","1BDE","COMPONENT",12.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.MetricsServlet","1BDE","COMPONENT",13.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.SearchServlet","1BDE","COMPONENT",14.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.PlanServlet","1BDE","COMPONENT",15.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.plugin.ldm.GetOplanPlugin","1BDE","COMPONENT",16.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.mlm.plugin.generic.PropagationPlugin","1BDE","COMPONENT",17.000000000000000000000000000000,
"CSA-0001","1BDE|org.cougaar.core.wp.WhitePagesServlet","1BDE","COMPONENT",18.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.ldm.LDMXMLComponentPlugin","3-69-ARBN","COMPONENT",0.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.organization.OrgDataPlugin","3-69-ARBN","COMPONENT",1.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.organization.OrgReportPlugin","3-69-ARBN","COMPONENT",2.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.organization.GLSAllocatorPlugin","3-69-ARBN","COMPONENT",3.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.organization.GLSExpanderPlugin","3-69-ARBN","COMPONENT",4.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.sample.StrategicTransportProjectionExpanderPlugin","3-69-ARBN","COMPONENT",5.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","3-69-ARBN","COMPONENT",6.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent","3-69-ARBN","COMPONENT",7.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.glm.servlet.GLMCompletionServlet","3-69-ARBN","COMPONENT",8.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.planning.servlet.HierarchyServlet","3-69-ARBN","COMPONENT",9.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.mlm.ui.servlet.DataGathererServlet","3-69-ARBN","COMPONENT",10.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.servlet.InventoryServletComponent","3-69-ARBN","COMPONENT",11.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.planning.servlet.LoaderServletComponent","3-69-ARBN","COMPONENT",12.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.AgentInfoServlet","3-69-ARBN","COMPONENT",13.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.CommunityProviderServlet","3-69-ARBN","COMPONENT",14.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.MetricsServlet","3-69-ARBN","COMPONENT",15.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.SearchServlet","3-69-ARBN","COMPONENT",16.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.servlet.SimpleServletComponent|org.cougaar.tools.csmart.ui.servlet.PlanServlet","3-69-ARBN","COMPONENT",17.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.ldm.GetOplanPlugin","3-69-ARBN","COMPONENT",18.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.generic.PropagationPlugin","3-69-ARBN","COMPONENT",19.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.mlm.plugin.sample.AllocationAssessorPlugin","3-69-ARBN","COMPONENT",20.000000000000000000000000000000,
"CSA-0001","3-69-ARBN|org.cougaar.core.wp.WhitePagesServlet","3-69-ARBN","COMPONENT",21.000000000000000000000000000000,
"CSA-0001","3ID|org.cougaar.mlm.plugin.organization.OrgDataPlugin","3ID","COMPONENT",0.000000000000000000000000000000,
