ASSEMBLY_ID,COMMUNITY_ID,ATTRIBUTE_ID,ATTRIBUTE_VALUE,BLANK
COMM-DEFAULT_CONFIG,1-AD-DIV-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,1-BDE-1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,16-CSG-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,2-BDE-1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,21-TSC-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,29-SPTGP-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,3-BDE-1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,3-SUPCOM-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,37-TRANSGP-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,5-CORPS-ARTY-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,5-CORPS-REAR-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,5-CORPS-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,7-CSG-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,AVNBDE-1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,DISCOM-1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,DIVARTY-1-AD-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,NCA-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,TRANSCOM-COMM,CommunityType,Domain,
COMM-DEFAULT_CONFIG,ALSUPPLY-COMM,CommunityType,AdaptiveLogistics,
COMM-DEFAULT_CONFIG,ALSUPPLY-COMM,CommunityManager,5-CORPS,
COMM-DEFAULT_CONFIG,ALTRANSPORT-COMM,CommunityType,AdaptiveLogistics,
COMM-DEFAULT_CONFIG,ALTRANSPORT-COMM,CommunityManager,TRANSCOM,
