ASSEMBLY_ID,COMMUNITY_ID,ENTITY_ID,ATTRIBUTE_ID,ATTRIBUTE_VALUE
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,1-4-ADABN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,1-4-ADABN,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,1-AD-DIV,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,1-AD-DIV,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,141-SIGBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,141-SIGBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,501-MIBN-CEWI,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,501-MIBN-CEWI,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,501-MPCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,501-MPCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,69-CHEMCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-DIV-COMM,69-CHEMCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,1-AD,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,1-AD,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,1-AD-DIV-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,1-AD-DIV-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,1-BDE-1-AD-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,1-BDE-1-AD-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,2-BDE-1-AD-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,1-AD-COMM,2-BDE-1-AD-COMM,Role,Member
