ORG_ID,UNIT_IDENTIFIER,BILLET_ID,SVC_CD,UNFRMD_SRVC_RNK_CD,UNFRMD_SRVC_OCCPTN_CD,REQ_SEI_CD,UNT_SVRC_CMPNT_CD,TO_NUMBER,TO_SUFFIX,TO_LINE_NUMBER,TO_RANK,TO_STRENGTH
25-FABTRY-TGTACQ,WH5QAA,WH5QAA-0013,A,52,00Z,5O,1,WH5QA,A,13,SGM,99
416-POL-TRKCO,WNCNAA,WNCNAA-0028,A,57,54B,2O,3,WNCNA,A,28,SGT,170
200-MMC,WNBPAA,WNBPAA-0010,A,LT,00B,0,1,WNBPA,A,10,LG,324
52-ENGBN-CBTHVY,WNAHAA,WNAHAA-0048,A,52,00Z,5O,3,WNAHA,A,48,SGM,709
720-EODDET,WB6CRD,WB6CRD-0013,A,52,00Z,5O,1,WB6CR,A,13,SGM,99
702-EODDET,WB54Y1,WB54Y1-0013,A,52,00Z,5O,1,WB54Y,A,13,SGM,99
21-TSC-HQ,WNBSAA,WNBSAA-0010,A,LT,00B,0,1,WNBSA,A,10,LG,324
1-1-CAVSQDN,WAETAA,WAETAA-0069,A,52,00Z,5O,1,WAETA,A,69,SGM,1
1-1-CAVSQDN,WAETAA,WAETAA-0106,A,62,11C,3O,1,WAETA,A,106,SSG,6
1-1-CAVSQDN,WAETAA,WAETAA-0132,A,40,11C,4O,1,WAETA,A,132,PSG,3
1-1-CAVSQDN,WAETAA,WAETAA-0031,A,46,11C,1O,1,WAETA,A,31,PFC,6
1-1-CAVSQDN,WAETAA,WAETAA-0045,A,17,11C,1O,1,WAETA,A,45,CPL,12
1-1-CAVSQDN,WAETAA,WAETAA-0067,A,19,12B,0,1,WAETA,A,67,1LT,6
1-1-CAVSQDN,WAETAA,WAETAA-0066,A,19,12C,0,1,WAETA,A,66,1LT,12
1-1-CAVSQDN,WAETAA,WAETAA-0094,A,28,12C,0,1,WAETA,A,94,LTC,1
1-1-CAVSQDN,WAETAA,WAETAA-0091,A,6,12C,0,1,WAETA,A,91,CPT,8
1-1-CAVSQDN,WAETAA,WAETAA-0096,A,32,12C,0,1,WAETA,A,96,MAJ,1
1-1-CAVSQDN,WAETAA,WAETAA-0082,A,13,151,AE,1,WAETA,A,82,CW2,1
1-1-CAVSQDN,WAETAA,WAETAA-0084,A,11,152,DB,1,WAETA,A,84,CW4,1
1-1-CAVSQDN,WAETAA,WAETAA-0087,A,12,152,DF,1,WAETA,A,87,CW3,2
1-1-CAVSQDN,WAETAA,WAETAA-0089,A,13,152,D0,1,WAETA,A,89,CW2,12
1-1-CAVSQDN,WAETAA,WAETAA-0092,A,13,152,DC,1,WAETA,A,92,CW2,2
1-1-CAVSQDN,WAETAA,WAETAA-0103,A,13,152,DE,1,WAETA,A,103,CW2,2
1-1-CAVSQDN,WAETAA,WAETAA-0090,A,13,152,DG,1,WAETA,A,90,CW2,4
1-1-CAVSQDN,WAETAA,WAETAA-0088,A,12,152,DB,1,WAETA,A,88,CW3,2
1-1-CAVSQDN,WAETAA,WAETAA-0086,A,12,152,DG,1,WAETA,A,86,CW3,1
1-1-CAVSQDN,WAETAA,WAETAA-0085,A,12,152,DH,1,WAETA,A,85,CW3,2
1-1-CAVSQDN,WAETAA,WAETAA-0065,A,19,15A,0,1,WAETA,A,65,1LT,4
1-1-CAVSQDN,WAETAA,WAETAA-0093,A,6,15B,0,1,WAETA,A,93,CPT,3
1-1-CAVSQDN,WAETAA,WAETAA-0095,A,32,15B,0,1,WAETA,A,95,MAJ,1
1-1-CAVSQDN,WAETAA,WAETAA-0072,A,6,15D,0,1,WAETA,A,72,CPT,1
1-1-CAVSQDN,WAETAA,WAETAA-0131,A,40,19D,4O,1,WAETA,A,131,PSG,7
1-1-CAVSQDN,WAETAA,WAETAA-0135,A,62,19D,3O,1,WAETA,A,135,SSG,26
1-1-CAVSQDN,WAETAA,WAETAA-0024,A,57,19D,2O,1,WAETA,A,24,SGT,43
1-1-CAVSQDN,WAETAA,WAETAA-0052,A,17,19D,1O,1,WAETA,A,52,CPL,90
1-1-CAVSQDN,WAETAA,WAETAA-0032,A,46,19D,1O,1,WAETA,A,32,PFC,48
1-1-CAVSQDN,WAETAA,WAETAA-0029,A,57,19K,2O,1,WAETA,A,29,SGT,27
1-1-CAVSQDN,WAETAA,WAETAA-0060,A,17,19K,1O,1,WAETA,A,60,CPL,30
1-1-CAVSQDN,WAETAA,WAETAA-0033,A,46,19K,1O,1,WAETA,A,33,PFC,27
1-1-CAVSQDN,WAETAA,WAETAA-0113,A,62,19K,3O,1,WAETA,A,113,SSG,15
1-1-CAVSQDN,WAETAA,WAETAA-0130,A,40,19K,4O,1,WAETA,A,130,PSG,7
1-1-CAVSQDN,WAETAA,WAETAA-0068,A,52,19Z,5O,1,WAETA,A,68,SGM,1
1-1-CAVSQDN,WAETAA,WAETAA-0073,A,38,19Z,5M,1,WAETA,A,73,MSG,4
1-1-CAVSQDN,WAETAA,WAETAA-0061,A,38,19Z,5O,1,WAETA,A,61,MSG,1
1-1-CAVSQDN,WAETAA,WAETAA-0101,A,6,25C,0,1,WAETA,A,101,CPT,1
