ORG_ID,TI_ID,UNIT_IDENTIFIER,UNIT_EQUIPMENT_QTY
1-1-CAVSQDN,G53778,WAETAA,1
1-1-CAVSQDN,C32887,WAETAA,1
1-1-CAVSQDN,T58161,WAETAA,1
1-1-CAVSQDN,X62340,WAETAA,1
1-1-CAVSQDN,X63299,WAETAA,1
1-1-CAVSQDN,K24931,WAETAA,1
1-1-CAVSQDN,T96883,WAETAA,1
1-1-CAVSQDN,X23227,WAETAA,1
1-1-CAVSQDN,W93995,WAETAA,1
1-1-CAVSQDN,T63093,WAETAA,2
1-1-CAVSQDN,X48914,WAETAA,2
1-1-CAVSQDN,F79334,WAETAA,2
1-1-CAVSQDN,X40931,WAETAA,2
1-1-CAVSQDN,C11158,WAETAA,3
1-1-CAVSQDN,L28351,WAETAA,3
1-1-CAVSQDN,P44627,WAETAA,3
1-1-CAVSQDN,G34805,WAETAA,3
1-1-CAVSQDN,T45465,WAETAA,4
1-1-CAVSQDN,T39518,WAETAA,4
1-1-CAVSQDN,X40794,WAETAA,4
1-1-CAVSQDN,X40146,WAETAA,4
1-1-CAVSQDN,R50681,WAETAA,5
1-1-CAVSQDN,K28601,WAETAA,5
1-1-CAVSQDN,C10990,WAETAA,6
1-1-CAVSQDN,D11538,WAETAA,6
1-1-CAVSQDN,M68405,WAETAA,6
1-1-CAVSQDN,W98825,WAETAA,8
1-1-CAVSQDN,T59278,WAETAA,10
1-1-CAVSQDN,W95537,WAETAA,11
1-1-CAVSQDN,C18234,WAETAA,13
1-1-CAVSQDN,T87243,WAETAA,15
1-1-CAVSQDN,A21633,WAETAA,16
1-1-CAVSQDN,W95811,WAETAA,24
1-1-CAVSQDN,T13168,WAETAA,27
1-1-CAVSQDN,X40009,WAETAA,29
1-1-CAVSQDN,T61494,WAETAA,35
1-1-CAVSQDN,F60530,WAETAA,41
1-13-ARBN,T63093,WAFZAA,1
1-13-ARBN,X63299,WAFZAA,1
1-13-ARBN,E32466,WAFZAA,1
1-13-ARBN,T96883,WAFZAA,1
1-13-ARBN,T61562,WAFZAA,1
1-13-ARBN,S70517,WAFZAA,3
1-13-ARBN,L28351,WAFZAA,3
1-13-ARBN,X59463,WAFZAA,3
1-13-ARBN,C10990,WAFZAA,4
1-13-ARBN,W95537,WAFZAA,4
1-13-ARBN,X40794,WAFZAA,4
1-13-ARBN,X40146,WAFZAA,4
1-13-ARBN,K28601,WAFZAA,4
1-13-ARBN,T39518,WAFZAA,4
1-13-ARBN,T92242,WAFZAA,5
1-13-ARBN,T92310,WAFZAA,5
1-13-ARBN,R50681,WAFZAA,6
1-13-ARBN,D11538,WAFZAA,7
1-13-ARBN,W98825,WAFZAA,7
1-13-ARBN,T59278,WAFZAA,8
1-13-ARBN,D12087,WAFZAA,13
1-13-ARBN,T87243,WAFZAA,13
1-13-ARBN,W95811,WAFZAA,18
1-13-ARBN,X40009,WAFZAA,24
1-13-ARBN,T61494,WAFZAA,28
1-13-ARBN,T13168,WAFZAA,44
1-27-FABN,C32887,WAKRAA,1
1-27-FABN,T38844,WAKRAA,1
1-27-FABN,T61562,WAKRAA,3
1-27-FABN,X40794,WAKRAA,3
1-27-FABN,T63093,WAKRAA,3
1-27-FABN,L28351,WAKRAA,4
1-27-FABN,R50681,WAKRAA,4
1-27-FABN,W95537,WAKRAA,6
1-27-FABN,T39654,WAKRAA,6
1-27-FABN,T58161,WAKRAA,7
1-27-FABN,X40146,WAKRAA,7
1-27-FABN,W95811,WAKRAA,7
1-27-FABN,W98825,WAKRAA,8
1-27-FABN,X40009,WAKRAA,10
1-27-FABN,C11158,WAKRAA,12
1-27-FABN,L44894,WAKRAA,18
1-27-FABN,T39586,WAKRAA,30
1-27-FABN,T45465,WAKRAA,36
1-27-FABN,T61494,WAKRAA,41
1-35-ARBN,T61562,WAPYAA,1
1-35-ARBN,T63093,WAPYAA,1
1-35-ARBN,C32887,WAPYAA,1
1-35-ARBN,T96883,WAPYAA,1
1-35-ARBN,X63299,WAPYAA,1
1-35-ARBN,T07679,WAPYAA,2
1-35-ARBN,L28351,WAPYAA,3
1-35-ARBN,X59463,WAPYAA,3
1-35-ARBN,C11158,WAPYAA,3
1-35-ARBN,S70517,WAPYAA,3
1-35-ARBN,M68405,WAPYAA,4
1-35-ARBN,K28601,WAPYAA,4
1-35-ARBN,X40146,WAPYAA,4
1-35-ARBN,T39518,WAPYAA,4
1-35-ARBN,C10990,WAPYAA,4
1-35-ARBN,D11538,WAPYAA,4
1-35-ARBN,X40794,WAPYAA,4
1-35-ARBN,W95537,WAPYAA,6
1-35-ARBN,R50681,WAPYAA,6
1-35-ARBN,W98825,WAPYAA,7
1-35-ARBN,T59278,WAPYAA,8
1-35-ARBN,Z62630,WAPYAA,10
1-35-ARBN,C18234,WAPYAA,13
1-35-ARBN,T87243,WAPYAA,13
1-35-ARBN,W95811,WAPYAA,18
1-35-ARBN,X40009,WAPYAA,23
1-35-ARBN,T61494,WAPYAA,28
1-35-ARBN,T13168,WAPYAA,44
1-36-INFBN,X63299,WAE3AA,1
1-36-INFBN,T96883,WAE3AA,1
1-36-INFBN,C32887,WAE3AA,1
1-36-INFBN,X40931,WAE3AA,1
1-36-INFBN,T63093,WAE3AA,1
1-36-INFBN,L28351,WAE3AA,3
1-36-INFBN,X40794,WAE3AA,3
1-36-INFBN,C11158,WAE3AA,3
1-36-INFBN,M68405,WAE3AA,4
1-36-INFBN,C10990,WAE3AA,4
1-36-INFBN,K28601,WAE3AA,4
1-36-INFBN,X40146,WAE3AA,4
1-36-INFBN,T39518,WAE3AA,4
1-36-INFBN,D11538,WAE3AA,4
1-36-INFBN,W95537,WAE3AA,4
1-36-INFBN,R50681,WAE3AA,6
1-36-INFBN,T87243,WAE3AA,6
1-36-INFBN,T59278,WAE3AA,6
1-36-INFBN,W98825,WAE3AA,7
1-36-INFBN,Z62630,WAE3AA,10
1-36-INFBN,C18234,WAE3AA,14
1-36-INFBN,W95811,WAE3AA,21
1-36-INFBN,X40009,WAE3AA,28
1-36-INFBN,T61494,WAE3AA,28
1-36-INFBN,F40375,WAE3AA,44
1-37-ARBN,T63093,WH54AA,1
1-37-ARBN,T96883,WH54AA,1
1-37-ARBN,C32887,WH54AA,1
1-37-ARBN,X63299,WH54AA,1
1-37-ARBN,T61562,WH54AA,1
1-37-ARBN,T07679,WH54AA,2
1-37-ARBN,S70517,WH54AA,3
1-37-ARBN,L28351,WH54AA,3
1-37-ARBN,X59463,WH54AA,3
1-37-ARBN,C11158,WH54AA,3
1-37-ARBN,D11538,WH54AA,4
1-37-ARBN,T39518,WH54AA,4
1-37-ARBN,X40146,WH54AA,4
1-37-ARBN,K28601,WH54AA,4
1-37-ARBN,X40794,WH54AA,4
1-37-ARBN,M68405,WH54AA,4
1-37-ARBN,C10990,WH54AA,4
1-37-ARBN,R50681,WH54AA,6
1-37-ARBN,W95537,WH54AA,6
1-37-ARBN,W98825,WH54AA,7
1-37-ARBN,T59278,WH54AA,8
1-37-ARBN,Z62630,WH54AA,10
1-37-ARBN,T87243,WH54AA,13
1-37-ARBN,C18234,WH54AA,13
1-37-ARBN,W95811,WH54AA,18
1-37-ARBN,X40009,WH54AA,23
1-37-ARBN,T61494,WH54AA,28
1-37-ARBN,T13168,WH54AA,44
1-4-ADABN,G53778,WGM8AA,1
1-4-ADABN,T63093,WGM8AA,1
1-4-ADABN,D11538,WGM8AA,1
1-4-ADABN,T96883,WGM8AA,2
1-4-ADABN,X40794,WGM8AA,2
1-4-ADABN,T87243,WGM8AA,2
1-4-ADABN,K28601,WGM8AA,2
1-4-ADABN,R50681,WGM8AA,2
1-4-ADABN,C11158,WGM8AA,3
1-4-ADABN,L28351,WGM8AA,3
1-4-ADABN,C18234,WGM8AA,4
1-4-ADABN,C32887,WGM8AA,4
1-4-ADABN,T59278,WGM8AA,4
1-4-ADABN,X40146,WGM8AA,6
1-4-ADABN,W98825,WGM8AA,6
1-4-ADABN,T61562,WGM8AA,10
1-4-ADABN,X40009,WGM8AA,13
1-4-ADABN,W95811,WGM8AA,14
1-4-ADABN,G42170,WGM8AA,15
1-4-ADABN,T07679,WGM8AA,17
1-4-ADABN,W95537,WGM8AA,18
1-4-ADABN,F40375,WGM8AA,20
1-4-ADABN,F57713,WGM8AA,24
1-4-ADABN,T61494,WGM8AA,75
1-41-INFBN,X63299,WAHSAA,1
1-41-INFBN,C32887,WAHSAA,1
1-41-INFBN,T63093,WAHSAA,1
1-41-INFBN,X40931,WAHSAA,1
1-41-INFBN,L28351,WAHSAA,3
1-41-INFBN,X40794,WAHSAA,3
1-41-INFBN,M68405,WAHSAA,4
1-41-INFBN,K28601,WAHSAA,4
