COMPONENT_LIB_ID,COMPONENT_TYPE,COMPONENT_CLASS,INSERTION_POINT,DESCRIPTION,BLANK
"society|minitestconfig","society","java.lang.Object","Society","Added society",
"1BDE","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","Added agent",
"plugin|org.cougaar.mlm.plugin.organization.OrgDataPlugin","plugin","org.cougaar.mlm.plugin.organization.OrgDataPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.organization.OrgReportPlugin","plugin","org.cougaar.mlm.plugin.organization.OrgReportPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.organization.GLSMiniAllocatorPlugin","plugin","org.cougaar.mlm.plugin.organization.GLSMiniAllocatorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.organization.GLSMiniExpanderPlugin","plugin","org.cougaar.mlm.plugin.organization.GLSMiniExpanderPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","plugin","org.cougaar.mlm.plugin.strategictransport.TaskStrategicTransportAllocatorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.core.servlet.SimpleServletComponent","plugin","org.cougaar.core.servlet.SimpleServletComponent","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.glm.servlet.GLMCompletionServlet","plugin","org.cougaar.glm.servlet.GLMCompletionServlet","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.servlet.InventoryServletComponent","plugin","org.cougaar.mlm.servlet.InventoryServletComponent","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.planning.servlet.LoaderServletComponent","plugin","org.cougaar.planning.servlet.LoaderServletComponent","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.ldm.GetOplanPlugin","plugin","org.cougaar.mlm.plugin.ldm.GetOplanPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.generic.PropagationPlugin","plugin","org.cougaar.mlm.plugin.generic.PropagationPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.core.wp.WhitePagesServlet","plugin","org.cougaar.core.wp.WhitePagesServlet","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"3-69-ARBN","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","Added agent",
"plugin|org.cougaar.mlm.plugin.ldm.LDMXMLComponentPlugin","plugin","org.cougaar.mlm.plugin.ldm.LDMXMLComponentPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.sample.StrategicTransportProjectionExpanderPlugin","plugin","org.cougaar.mlm.plugin.sample.StrategicTransportProjectionExpanderPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.sample.AllocationAssessorPlugin","plugin","org.cougaar.mlm.plugin.sample.AllocationAssessorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"3ID","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","Added agent",
"plugin|org.cougaar.mlm.plugin.organization.GLSGUIInitPlugin","plugin","org.cougaar.mlm.plugin.organization.GLSGUIInitPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.organization.GLSRescindPlugin","plugin","org.cougaar.mlm.plugin.organization.GLSRescindPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.ldm.OPlanPlugin","plugin","org.cougaar.mlm.plugin.ldm.OPlanPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"MCCGlobalMode","agent","org.cougaar.core.agent.SimpleAgent","Node.AgentManager.Agent","Added agent",
"plugin|org.cougaar.mlm.plugin.sample.PolicyPlugin","plugin","org.cougaar.mlm.plugin.sample.PolicyPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugin","plugin","org.cougaar.mlm.plugin.ldm.XMLPolicyPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.sample.MCCTriggerCreatorPlugin","plugin","org.cougaar.mlm.plugin.sample.MCCTriggerCreatorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.planning.ldm.trigger.TriggerManagerPlugin","plugin","org.cougaar.planning.ldm.trigger.TriggerManagerPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.sample.MCCPredictorPlugin","plugin","org.cougaar.mlm.plugin.sample.MCCPredictorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.sample.MCCAggregatorPlugin","plugin","org.cougaar.mlm.plugin.sample.MCCAggregatorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"plugin|org.cougaar.mlm.plugin.sample.MCCAllocatorPlugin","plugin","org.cougaar.mlm.plugin.sample.MCCAllocatorPlugin","Node.AgentManager.Agent.PluginManager.Plugin","Added plugin",
"society|Experiment for minitestconfig","society","java.lang.Object","Society","Added society",
"MiniNode","node","org.cougaar.core.node.Node","Node","Added node",
