PG_ATTRIBUTE_LIB_ID,PG_NAME,ATTRIBUTE_NAME,ATTRIBUTE_TYPE,AGGREGATE_TYPE,BLANK
"TypeIdentificationPG|AlternateTypeIdentification","TypeIdentificationPG","AlternateTypeIdentification","String","SINGLE",
"TypeIdentificationPG|Nomenclature","TypeIdentificationPG","Nomenclature","String","SINGLE",
"TypeIdentificationPG|TypeIdentification","TypeIdentificationPG","TypeIdentification","String","SINGLE",
"ClusterPG|MessageAddress","ClusterPG","MessageAddress","MessageAddress","SINGLE",
"OrganizationPG|Roles","OrganizationPG","Roles","Role","COLLECTION",
"MilitaryOrgPG|Echelon","MilitaryOrgPG","Echelon","String","SINGLE",
"MilitaryOrgPG|SRC","MilitaryOrgPG","SRC","String","SINGLE",
"MilitaryOrgPG|UIC","MilitaryOrgPG","UIC","String","SINGLE",
"MilitaryOrgPG|UTC","MilitaryOrgPG","UTC","String","SINGLE",
"ItemIdentificationPG|ItemIdentification","ItemIdentificationPG","ItemIdentification","String","SINGLE",
"ItemIdentificationPG|Nomenclature","ItemIdentificationPG","Nomenclature","String","SINGLE",
"MilitaryOrgPG|HomeLocation","MilitaryOrgPG","HomeLocation","GeolocLocation","SINGLE",
"MilitaryOrgPG|IsReserve","MilitaryOrgPG","IsReserve","boolean","SINGLE",
"CSSCapabilityPG|Capabilities","CSSCapabilityPG","Capabilities","CSSCapability","COLLECTION",
