ROLE,DESCRIPTION,BLANK
"AmmunitionProvider","Should change to AmmunitionSupplyProvider",
"AmmunitionTransportProvider",\N,
"Combat","Medical uses this to control the type of casualties",
"ConstructionProvider",\N,
"ConstructionSupplyProvider",\N,
"FuelSupplyProvider",\N,
"FuelTransportProvider",\N,
"GroundTransportProvider",\N,
"HETTransportationProvider",\N,
"MaterielTransportProvider",\N,
"PackagedPOLSupplyProvider",\N,
"SparePartsProvider",\N,
"SubsistenceSupplyProvider",\N,
"Superior",\N,
"StrategicTransportationProvider","TRANSCOM and Others",
"SeaTransportationProvider","GlobalSea",
"AirTransportationProvider","GlobalAir",
"ShipPackingTransportationProvider","ShipPacker",
"OrganicAirTransportationProvider","PlanePacker",
"CONUSGroundTransportationProvider","CONUSGround",
"TheaterStrategicTransportationProvider","TheaterGround",
