RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"7AA","M",\N,"DIV","999BB","II MEF","II MARINE EXPEDITIONARY FORCE",0.000000000000000000000000000000,\N,"Unknown","RQWP","New River Mcas",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"AAA","A",\N,"NSL","G99BB","1ST ARMORED DIVISION","PARENT 1ST AD",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"AAA03","A",\N,"NSL","G99BB","3RD BDE  1ST AD","PARENT 3RD BDE 1ST AD",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"AAD","A","WAGEFF","NSL","499BB","1ST CAVALRY DIVISION","PARENT 1ST CAV",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"AAP","A","WAY8FF","NSL","299BB","3RD ARMORED CAVALRY REGIMENT","PARENT 3RD ACR",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"AAW","A","WNBBFF","NSL","499BB","4TH INFANTRY DIVISION (MECH)","PARENT 4TH ID",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"AHK","A",\N,"NSL","399BB","101ST AB DIV (AIR ASSAULT)","PARENT 101ST AA",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,"Unknown",\N,\N,\N,\N,\N
"DBBRC","A","WB37AA","CO","HWTTT","507th OD CO","MAINT CO DS PATRIOT",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","MMDN","Kuwait Intl",\N,\N,\N,\N,\N
"DBBTC","A","WAYRAA","CO","6VE66","286th SIG CO","AREA SIG COMPANY ADA  MSE",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","MMDN","Kuwait Intl",\N,\N,\N,\N,\N
"DBBUC","A","WHLJAA","BN","1KC66","43rd ADA BN","ADA BN PATRIOT",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","MMDN","Kuwait Intl",\N,\N,\N,\N,\N
"SAAHC","A","WFTDAA","CO","UY1VV","551st TC TRANS CARGO TRANSFER","(1C) TRANS CARGO TRANSFER CO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAAKC","A","WFSPAA","CO","UHBNN","368th TC TML SVC","T TML SVC CO  CNTNR BB",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAALC","A","WG66AA","TM","UZG33","70th TC MOVEMENT CONTROL","(1C) MOVEMENT CONTROL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAAMC","A","WC8LAA","TM","UMCCC","384th TC MOVEMENT CONTROL","(1C) MOVEMENT CONTROL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAANC","A","WC6DAA","TM","USZVV","408th TC AUTOMATED CARGO DOC","(3T) AUTOMATED CARGO DOC",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAARC","A","WDT6AA","TM","U3H33","622nd TC MOVEMENT CON  AIR TER","(1C) MOVEMENT CON  AIR TERM",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SABAC","A","WD03AA","TM","U7F77","8th TC DET","COMPANY HEADQUARTERS",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SABBC","A","WDB3AA","TM","UKZVV","492nd TC TML DET","TM DET",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SABCC","A","WDBDAA","HHC","UQH33","24th TC HHC","HHC  TRANS TERMINAL BN",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
