ORG_ID,ORG_NAME,UIC,ORG_CLASS,BLANK
"NCA","NCA",\N,"MilitaryOrganization",
"FORSCOM","FORSCOM",\N,"MilitaryOrganization",
"DLAHQ","DLAHQ",\N,"MilitaryOrganization",
"OSC","OSC",\N,"MilitaryOrganization",
"HNS","HNS",\N,"MilitaryOrganization",
"USEUCOM","USEUCOM",\N,"MilitaryOrganization",
"USAEUR","USAEUR",\N,"MilitaryOrganization",
"NATO","NATO",\N,"MilitaryOrganization",
"JSRCMDSE","JSRCMDSE",\N,"MilitaryOrganization",
"TRANSCOM","TRANSCOM",\N,"MilitaryOrganization",
"GlobalSea","GlobalSea",\N,"MilitaryOrganization",
"GlobalAir","GlobalAir",\N,"MilitaryOrganization",
"ShipPacker","ShipPacker",\N,"MilitaryOrganization",
"PlanePacker","PlanePacker",\N,"MilitaryOrganization",
"CONUSGround","CONUSGround",\N,"MilitaryOrganization",
"TheaterGround","TheaterGround",\N,"MilitaryOrganization",
"5-CORPS","5-CORPS","WAT6AA","MilitaryOrganization",
"1-AD","1-AD","WAPBAA","MilitaryOrganization",
"1-AD-DIV","1-AD-DIV",\N,"MilitaryOrganization",
"501-MPCO","501-MPCO","WAPCAA","MilitaryOrganization",
"141-SIGBN","141-SIGBN","WAPEAA","MilitaryOrganization",
"1-4-ADABN","1-4-ADABN","WGM8AA","MilitaryOrganization",
"501-MIBN-CEWI","501-MIBN-CEWI","WH6YAA","MilitaryOrganization",
"69-CHEMCO","69-CHEMCO","WA8RAA","MilitaryOrganization",
"1-BDE-1-AD","1-BDE-1-AD","WAELAA","MilitaryOrganization",
"2-37-ARBN","2-37-ARBN","WAD9AA","MilitaryOrganization",
"1-36-INFBN","1-36-INFBN","WAE3AA","MilitaryOrganization",
"1-37-ARBN","1-37-ARBN","WH54AA","MilitaryOrganization",
"16-ENGBN","16-ENGBN","WAEUAA","MilitaryOrganization",
"2-3-FABN","2-3-FABN","WAEQAA","MilitaryOrganization",
"501-FSB","501-FSB","WH96AA","MilitaryOrganization",
"2-BDE-1-AD","2-BDE-1-AD","WAPGAA","MilitaryOrganization",
"1-6-INFBN","1-6-INFBN","WAPSAA","MilitaryOrganization",
"2-6-INFBN","2-6-INFBN","WAPWAA","MilitaryOrganization",
"1-35-ARBN","1-35-ARBN","WAPYAA","MilitaryOrganization",
"40-ENGBN","40-ENGBN","WDKXAA","MilitaryOrganization",
