ROLE,SUPPORTING_ORG_ID,SUPPORTED_ORG_ID,START_DATE,END_DATE,BLANK
"SparePartsProvider","127-DASB","1-1-CAVSQDN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","127-DASB","1-1-CAVSQDN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-1-CAVSQDN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","127-DASB","1-1-CAVSQDN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","127-DASB","1-1-CAVSQDN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","127-DASB","1-1-CAVSQDN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-FSB","1-13-ARBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","125-FSB","1-13-ARBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","125-FSB","1-13-ARBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","125-FSB","1-13-ARBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","125-FSB","1-13-ARBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-13-ARBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","1-27-FABN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","1-27-FABN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","1-27-FABN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","1-27-FABN","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","1-27-FABN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-ARTY","1-27-FABN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","47-FSB","1-35-ARBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","47-FSB","1-35-ARBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","47-FSB","1-35-ARBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","47-FSB","1-35-ARBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","47-FSB","1-35-ARBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-35-ARBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","501-FSB","1-36-INFBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","501-FSB","1-36-INFBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-36-INFBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","501-FSB","1-36-INFBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","501-FSB","1-36-INFBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","501-FSB","1-36-INFBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","501-FSB","1-37-ARBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","501-FSB","1-37-ARBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-37-ARBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","501-FSB","1-37-ARBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","501-FSB","1-37-ARBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","501-FSB","1-37-ARBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-4-ADABN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-FSB","1-41-INFBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","125-FSB","1-41-INFBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","125-FSB","1-41-INFBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","125-FSB","1-41-INFBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","125-FSB","1-41-INFBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-41-INFBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","127-DASB","1-501-AVNBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","127-DASB","1-501-AVNBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-501-AVNBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","127-DASB","1-501-AVNBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","127-DASB","1-501-AVNBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","127-DASB","1-501-AVNBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","47-FSB","1-6-INFBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","47-FSB","1-6-INFBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","47-FSB","1-6-INFBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","47-FSB","1-6-INFBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","47-FSB","1-6-INFBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-6-INFBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-94-FABN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","123-MSB","1-94-FABN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","123-MSB","1-94-FABN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","123-MSB","1-94-FABN","2005-01-01 00:00:00",\N,
"SparePartsProvider","123-MSB","1-94-FABN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","123-MSB","1-94-FABN","2005-01-01 00:00:00",\N,
"ConstructionProvider","52-ENGBN-CBTHVY","1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","TRANSCOM","1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-AD-DIV","2005-01-01 00:00:00",\N,
"SparePartsProvider","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"AmmunitionProvider","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","106-TCBN","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelTransportProvider","106-TCBN","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","110-POL-SUPPLYCO","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","110-POL-SUPPLYCO","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","106-TCBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","109-MDM-TRKCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","11-AVN-RGT","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","11-AVN-RGT","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","28-TCBN","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelTransportProvider","6-TCBN","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","HNS","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","HNS","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","12-AVNBDE","2005-01-01 00:00:00",\N,
